Scenario,Date,Line,Coverage
All,2020/01/01,1,0%
All,2020/01/01,2,0%
All,2020/01/01,3,0%
All,2020/01/01,4,0%
All,2020/01/01,5,0%
All,2021/01/01,1,0%
All,2021/01/01,2,0.5%
All,2021/01/01,3,1.0%
All,2021/01/01,4,3.3%
All,2021/01/01,5,3.3%
All except alternative scenario 3 (Isa frontline),2025/12/31,1,0%
Alternative scenario 3 (Isa frontline),2025/12/31,1,10%
All,2026/01/01,2,10%
All,2026/01/01,3,9%
All,2026/01/01,4,7%
All,2026/01/01,5,7%
