Date,Line,Dara_all,Dara_Isa_corresponding
2011/01/01,1,0.023168521962377578,0.00885194009616074
2011/01/01,2,0.07154719182554409,0.07118018430700793
2011/01/01,3,0.09719124119397421,0.09700064690911425
2011/01/01,4,0.09621507875357128,0.09602448446871133
2011/01/01,5,0.09610411732073822,0.09591352303587826
2012/01/01,1,0.023168521962377578,0.00885194009616074
2012/01/01,2,0.07154719182554409,0.07118018430700793
2012/01/01,3,0.09719124119397421,0.09700064690911425
2012/01/01,4,0.09621507875357128,0.09602448446871133
2012/01/01,5,0.09610411732073822,0.09591352303587826
2013/01/01,1,0.02320584225484302,0.008879963767058015
2013/01/01,2,0.07154719182554409,0.07118018430700793
2013/01/01,3,0.09719124119397421,0.09700064690911425
2013/01/01,4,0.09621507875357128,0.09602448446871133
2013/01/01,5,0.09610411732073822,0.09591352303587826
2014/01/01,1,0.02335938927805776,0.00908070902284961
2014/01/01,2,0.07154719182554409,0.07118018430700793
2014/01/01,3,0.09719124119397421,0.09700064690911425
2014/01/01,4,0.09621507875357128,0.09602448446871133
2014/01/01,5,0.09610411732073822,0.09591352303587826
2015/01/01,1,0.023223522340624227,0.00908070902284961
2015/01/01,2,0.07224826356650016,0.071881256047964
2015/01/01,3,0.09814266693097967,0.09795207264611971
2015/01/01,4,0.09716650449057682,0.09697591020571686
2015/01/01,5,0.0970555430577438,0.09686494877288385
2016/01/01,1,0.024797342295931543,0.010690352089688927
2016/01/01,2,0.07652628888546911,0.07615928136693295
2016/01/01,3,0.10543378672201036,0.1052431924371504
2016/01/01,4,0.10445762428160771,0.10426702999674775
2016/01/01,5,0.10616916706624871,0.10597857278138875
2017/01/01,1,0.024491745630555353,0.010261259361047749
2017/01/01,2,0.11876930666810118,0.11828267726017477
2017/01/01,3,0.14132023787329823,0.14108826550824893
2017/01/01,4,0.13964601876498772,0.13941404639993843
2017/01/01,5,0.14122739309633658,0.1409954207312873
2018/01/01,1,0.02661727473609316,0.011689727214494886
2018/01/01,2,0.24059878468423523,0.23962552388101455
2018/01/01,3,0.27587517298076947,0.2754492495823489
2018/01/01,4,0.2795497359266764,0.27912381252825585
2018/01/01,5,0.2811225355690364,0.2806966121706158
2019/01/01,1,0.03461952600221768,0.016552763183342218
2019/01/01,2,0.292482279322024,0.291085077026054
2019/01/01,3,0.3104778869845249,0.30990555547193854
2019/01/01,4,0.3142226174745937,0.3136502859620073
2019/01/01,5,0.3140725993527883,0.3135002678402019
2020/01/01,1,0.09475466577106748,0.028836834931701444
2020/01/01,2,0.3284957093316025,0.3265151098161516
2020/01/01,3,0.36117640010013063,0.3604278691984812
2020/01/01,4,0.36326615284531727,0.36254184875196815
2020/01/01,5,0.36302999383530415,0.36230568974195504
2021/01/01,1,0.1826698544008074,0.04731531044848796
2021/01/01,2,0.3663349895243518,0.3628490081317506
2021/01/01,3,0.3988986038998966,0.39718877292303656
2021/01/01,4,0.3934645505288993,0.3917789463603395
2021/01/01,5,0.3917263505288421,0.3900407463602824
2022/01/01,1,0.2747900842640767,0.06419988195781544
2022/01/01,2,0.3894398313713019,0.3846118335229268
2022/01/01,3,0.4033316715039176,0.40072614086453784
2022/01/01,4,0.39514507450251607,0.39285787676952433
2022/01/01,5,0.39340687450245915,0.39111967676946746
2023/01/01,1,0.27921917564873194,0.062437613833681856
2023/01/01,2,0.39177838100480505,0.38695038315642993
2023/01/01,3,0.4050623244731954,0.4024567938338156
2023/01/01,4,0.3968757274717941,0.3945885297388023
2023/01/01,5,0.39513752747173675,0.392850329738745
2024/01/01,1,0.27921917564873194,0.062437613833681856
2024/01/01,2,0.39177838100480505,0.38695038315642993
2024/01/01,3,0.4050623244731954,0.4024567938338156
2024/01/01,4,0.3968757274717941,0.3945885297388023
2024/01/01,5,0.39513752747173675,0.392850329738745
2025/01/01,1,0.27921917564873194,0.062437613833681856
2025/01/01,2,0.39177838100480505,0.38695038315642993
2025/01/01,3,0.4050623244731954,0.4024567938338156
2025/01/01,4,0.3968757274717941,0.3945885297388023
2025/01/01,5,0.39513752747173675,0.392850329738745
2026/01/01,1,0.27921917564873194,0.062437613833681856
2026/01/01,2,0.39177838100480505,0.38695038315642993
2026/01/01,3,0.4050623244731954,0.4024567938338156
2026/01/01,4,0.3968757274717941,0.3945885297388023
2026/01/01,5,0.39513752747173675,0.392850329738745
2027/01/01,1,0.27921917564873194,0.062437613833681856
2027/01/01,2,0.39177838100480505,0.38695038315642993
2027/01/01,3,0.4050623244731954,0.4024567938338156
2027/01/01,4,0.3968757274717941,0.3945885297388023
2027/01/01,5,0.39513752747173675,0.392850329738745
2028/01/01,1,0.27921917564873194,0.062437613833681856
2028/01/01,2,0.39177838100480505,0.38695038315642993
2028/01/01,3,0.4050623244731954,0.4024567938338156
2028/01/01,4,0.3968757274717941,0.3945885297388023
2028/01/01,5,0.39513752747173675,0.392850329738745
