Scenario,Date,Line,Coverage
all,2016/01/01,1,0
all,2016/01/01,2,0
all,2016/01/01,3,0
all,2016/01/01,4,0
all,2016/01/01,5,0
all,2019/01/01,1,0
all,2019/01/01,2,0.1188
all,2019/01/01,3,0.1938
all,2019/01/01,4,0.219
all,2019/01/01,5,0.18066
all,2021/01/01,1,0.029
all,2021/01/01,2,0.198
all,2021/01/01,3,0.323
all,2021/01/01,4,0.365
all,2021/01/01,5,0.3011
all,2025/12/31,1,0.34
all,2025/12/31,2,0.34
all,2025/12/31,3,0.34
all,2025/12/31,4,0.34
all,2025/12/31,5,0.34
