Scenario,Date,Line,Coverage
all,2019/01/01,1,0
all,2019/01/01,2,0
all,2019/01/01,3,0
all,2019/01/01,4,0
all,2019/01/01,5,0
all,2020/07/01,1,0
all,2020/07/01,2,0.0250
all,2020/07/01,3,0.0400
all,2020/07/01,4,0.0400
all,2020/07/01,5,0.0400
all,2021/01/01,1,0
all,2021/01/01,2,0.03125
all,2021/01/01,3,0.0480
all,2021/01/01,4,0.0480
all,2021/01/01,5,0.0480
all,2021/07/01,1,0.0023
all,2021/07/01,2,0.0375
all,2021/07/01,3,0.0560
all,2021/07/01,4,0.0560
all,2021/07/01,5,0.0560
all,2022/07/01,1,0.0205
all,2022/07/01,2,0.0938
all,2022/07/01,3,0.1232
all,2022/07/01,4,0.1232
all,2022/07/01,5,0.1232
all,2023/07/01,1,0.0616
all,2023/07/01,2,0.1406
all,2023/07/01,3,0.1922
all,2023/07/01,4,0.1922
all,2023/07/01,5,0.1922
all,2024/01/01,1,0.07695
all,2024/01/01,2,0.16945
all,2024/01/01,3,0.20108
all,2024/01/01,4,0.20108
all,2024/01/01,5,0.20108
baseline,2024/07/01,1,0.0923
alternative_1_naive,2024/07/01,1,0.0923
alternative_2_isa_after_dara,2024/07/01,1,0.0923
alternative_3_isa_frontline,2024/07/01,1,0.0859
all,2024/07/01,2,0.1983
all,2024/07/01,3,0.2100
all,2024/07/01,4,0.2100
all,2024/07/01,5,0.2100
baseline,2025/07/01,1,0.3408
alternative_1_naive,2025/07/01,1,0.3408
alternative_2_isa_after_dara,2025/07/01,1,0.3408
alternative_3_isa_frontline,2025/07/01,1,0.2335
all,2025/07/01,2,0.3477
all,2025/07/01,3,0.3146
all,2025/07/01,4,0.3146
all,2025/07/01,5,0.3146
baseline,2026/07/01,1,0.3766
alternative_1_naive,2026/07/01,1,0.3766
alternative_2_isa_after_dara,2026/07/01,1,0.3766
alternative_3_isa_frontline,2026/07/01,1,0.2046
all,2026/07/01,2,0.3391
all,2026/07/01,3,0.2713
all,2026/07/01,4,0.2713
all,2026/07/01,5,0.2713
baseline,2027/07/01,1,0.3790
alternative_1_naive,2027/07/01,1,0.3790
alternative_2_isa_after_dara,2027/07/01,1,0.3790
alternative_3_isa_frontline,2027/07/01,1,0.1886
all,2027/07/01,2,0.3165
all,2027/07/01,3,0.2451
all,2027/07/01,4,0.2451
all,2027/07/01,5,0.2451
baseline,2028/07/01,1,0.3827
alternative_1_naive,2028/07/01,1,0.3827
alternative_2_isa_after_dara,2028/07/01,1,0.3827
alternative_3_isa_frontline,2028/07/01,1,0.1904
all,2028/07/01,2,0.3165
all,2028/07/01,3,0.2412
all,2028/07/01,4,0.2412
all,2028/07/01,5,0.2412
