,age_start,sex,sbp_delta_adj,MF_SBP
0,70,Male,1.6300158376791405,0.2910742567284171
1,75,Male,1.6848653307855102,0.3008688090688402
2,65,Male,1.6252241128717169,0.2902185915842343
3,55,Male,1.553343001349424,0.27738267881239637
4,30,Male,1.4452696988645328,0.25808387479723727
5,45,Male,1.5431147380404784,0.2755562032215132
6,35,Male,1.4446375112329595,0.25797098414874203
7,25,Male,1.754289166158841,0.31326592252836355
8,40,Male,1.5352938976404158,0.2741596245786449
9,50,Male,1.4957401349993318,0.26709645267845133
10,60,Male,1.5748018748602408,0.28121462051075646
11,80,Male,1.7404271213019595,0.31079055737534905
12,85,Male,1.7404271213019595,0.31079055737534905
13,90,Male,1.7404271213019595,0.31079055737534905
14,45,Female,1.5431147380404784,0.2755562032215132
15,60,Female,1.5748018748602408,0.28121462051075646
16,35,Female,1.4446375112329595,0.25797098414874203
17,40,Female,1.5352938976404158,0.2741596245786449
18,75,Female,1.6848653307855102,0.3008688090688402
19,70,Female,1.6300158376791405,0.2910742567284171
20,30,Female,1.4452696988645328,0.25808387479723727
21,25,Female,1.754289166158841,0.31326592252836355
22,50,Female,1.4957401349993318,0.26709645267845133
23,55,Female,1.553343001349424,0.27738267881239637
24,65,Female,1.6252241128717169,0.2902185915842343
25,80,Female,1.7404271213019595,0.31079055737534905
26,85,Female,1.7404271213019595,0.31079055737534905
27,90,Female,1.7404271213019595,0.31079055737534905
