,age_start,age_end,sex,race_ethnicity,gq_person_migration_rate,new_household_migration_rate,non_reference_person_migration_rate
0,0,15,Female,AIAN,0.0023943408213774335,0.0,0.025417942858226576
1,0,15,Female,Asian,7.42736007773516e-05,0.0,0.007254282145648487
2,0,15,Female,Black,0.0013067221640143752,0.0,0.019006433538581998
3,0,15,Female,Latino,0.00038050163392654455,0.0,0.012993147539079616
4,0,15,Female,Multiracial or Other,0.00047128613310852573,0.0,0.019055594329494246
5,0,15,Female,NHOPI,0.00234009360374415,0.0,0.014801092043681748
6,0,15,Female,White,0.00034015818450215505,0.0,0.01580989837055883
7,0,15,Male,AIAN,0.002208772638771537,0.0,0.023947503765475185
8,0,15,Male,Asian,3.52035318269264e-05,0.0,0.007798234216920252
9,0,15,Male,Black,0.0018673878871846876,0.0,0.019687241199754627
10,0,15,Male,Latino,0.0006066053511176365,0.0,0.013688187123633414
11,0,15,Male,Multiracial or Other,0.0008512278300221633,0.0,0.02014230672486179
12,0,15,Male,NHOPI,0.0006927052805456386,0.0,0.009324878776575904
13,0,15,Male,White,0.0006717749117288026,0.0,0.015677715986098108
14,15,18,Female,AIAN,0.007271669575334497,0.0008949747169642458,0.025327784490088157
15,15,18,Female,Asian,0.00462672963791532,8.285690612312537e-05,0.011553566989808601
16,15,18,Female,Black,0.008982548742419052,0.0003015492393721986,0.019495761423891384
17,15,18,Female,Latino,0.00316147012120222,0.0002324107764775686,0.0136937796622798
18,15,18,Female,Multiracial or Other,0.005838815789473684,0.00029468201754385964,0.019359923245614034
19,15,18,Female,NHOPI,0.004736746219712151,0.0,0.0187648023319366
20,15,18,Female,White,0.004083146573850334,0.00021253020495549073,0.0164352518435978
21,15,18,Male,AIAN,0.013735611083515106,0.0009502624020041898,0.027060881584346587
22,15,18,Male,Asian,0.004431963373083475,0.00022958368824531515,0.011119836030664396
23,15,18,Male,Black,0.025558046230388844,0.00035014209254685913,0.019924364654958816
24,15,18,Male,Latino,0.009785335826201998,0.00022375801255915235,0.013916704612024482
25,15,18,Male,Multiracial or Other,0.009875827479742756,0.00023594127084709658,0.020934731903304526
26,15,18,Male,NHOPI,0.008648000684990153,0.00025687130747495504,0.0345063789708023
27,15,18,Male,White,0.006471785533348419,0.00022391255412952362,0.01588888235563134
28,18,19,Female,AIAN,0.11293326124827296,0.003303898600348411,0.0371838769748303
29,18,19,Female,Asian,0.20575604291146116,0.0021642449755567626,0.019911053775122218
30,18,19,Female,Black,0.13582880119596877,0.0073362631131273035,0.02533378869500219
31,18,19,Female,Latino,0.07700435794877918,0.004783794002348118,0.027116789047420056
32,18,19,Female,Multiracial or Other,0.14934859224646577,0.010424504019324437,0.03390686255098404
33,18,19,Female,NHOPI,0.1044482673875645,0.007618579503563529,0.04890636520029491
34,18,19,Female,White,0.2009331956610657,0.008117048058794974,0.033990518676505196
35,18,19,Male,AIAN,0.0754673033249869,0.017119897513538696,0.037966575438187856
36,18,19,Male,Asian,0.18076731781775773,0.006054161592947673,0.012802922462140051
37,18,19,Male,Black,0.11778838574608559,0.0041556050220392104,0.027276281521745986
38,18,19,Male,Latino,0.061042623880562696,0.004205673731687596,0.021195062788122183
39,18,19,Male,Multiracial or Other,0.11220579644133752,0.008089669581060074,0.02961591397423584
40,18,19,Male,NHOPI,0.06777700670830442,0.0,0.0481147351376359
41,18,19,Male,White,0.14551724714498304,0.006435701506512616,0.02646763756750882
42,19,20,Female,AIAN,0.08117513216890852,0.019674764103593655,0.06906243726159406
43,19,20,Female,Asian,0.1529003301042482,0.012925335276181225,0.050469071840398644
44,19,20,Female,Black,0.11190455736437438,0.019500880546368282,0.04931059662385636
45,19,20,Female,Latino,0.06604601088185022,0.01195845423682286,0.04355313641345026
46,19,20,Female,Multiracial or Other,0.1164955144996407,0.02471081851688727,0.06537008275574306
47,19,20,Female,NHOPI,0.03662506782419967,0.022517634291915355,0.042593597395550735
48,19,20,Female,White,0.16130003350115366,0.023313028173998385,0.06304445272798478
49,19,20,Male,AIAN,0.07119434525978284,0.01807185017853239,0.059462216716461416
50,19,20,Male,Asian,0.13277672803972404,0.01543261414070396,0.04086654655710331
51,19,20,Male,Black,0.11875556204922497,0.009061989453690545,0.04516051908031931
52,19,20,Male,Latino,0.06397419705358247,0.010324827632344505,0.04422464457090033
53,19,20,Male,Multiracial or Other,0.12086677185375211,0.01757154046108267,0.06525761376664359
