relationship_to_old_reference_person,new_reference_person_relationship_to_old_reference_person,relationship_to_new_reference_person,Note
Biological child,Opp-sex spouse,Biological child,
Adopted child,Opp-sex spouse,Adopted child,
Stepchild,Opp-sex spouse,Biological child,Could be another kind of child
Sibling,Opp-sex spouse,Other relative,
Parent,Opp-sex spouse,Parent-in-law,
Grandchild,Opp-sex spouse,Grandchild,
Parent-in-law,Opp-sex spouse,Parent,
Child-in-law,Opp-sex spouse,Child-in-law,
Other relative,Opp-sex spouse,Other nonrelative,
Roommate,Opp-sex spouse,Roommate,
Foster child,Opp-sex spouse,Foster child,
Other nonrelative,Opp-sex spouse,Other nonrelative,
Biological child,Opp-sex partner,Biological child,
Adopted child,Opp-sex partner,Adopted child,
Stepchild,Opp-sex partner,Biological child,Could be another kind of child
Sibling,Opp-sex partner,Other relative,
Parent,Opp-sex partner,Other nonrelative,
Grandchild,Opp-sex partner,Grandchild,
Parent-in-law,Opp-sex partner,Parent,
Child-in-law,Opp-sex partner,Child-in-law,
Other relative,Opp-sex partner,Other nonrelative,
Roommate,Opp-sex partner,Roommate,
Foster child,Opp-sex partner,Foster child,
Other nonrelative,Opp-sex partner,Other nonrelative,
Biological child,Same-sex spouse,Biological child,
Adopted child,Same-sex spouse,Adopted child,
Stepchild,Same-sex spouse,Biological child,Could be another kind of child
Sibling,Same-sex spouse,Other relative,
Parent,Same-sex spouse,Parent-in-law,
Grandchild,Same-sex spouse,Grandchild,
Parent-in-law,Same-sex spouse,Parent,
Child-in-law,Same-sex spouse,Child-in-law,
Other relative,Same-sex spouse,Other nonrelative,
Roommate,Same-sex spouse,Roommate,
Foster child,Same-sex spouse,Foster child,
Other nonrelative,Same-sex spouse,Other nonrelative,
Biological child,Same-sex partner,Biological child,
Adopted child,Same-sex partner,Adopted child,
Stepchild,Same-sex partner,Biological child,Could be another kind of child
Sibling,Same-sex partner,Other relative,
Parent,Same-sex partner,Other nonrelative,
Grandchild,Same-sex partner,Grandchild,
Parent-in-law,Same-sex partner,Parent,
Child-in-law,Same-sex partner,Child-in-law,
Other relative,Same-sex partner,Other nonrelative,
Roommate,Same-sex partner,Roommate,
Foster child,Same-sex partner,Foster child,
Other nonrelative,Same-sex partner,Other nonrelative,
Opp-sex spouse,Biological child,Parent,
Opp-sex partner,Biological child,Parent,
Same-sex spouse,Biological child,Parent,
Same-sex partner,Biological child,Parent,
Biological child,Biological child,Sibling,
Adopted child,Biological child,Sibling,
Stepchild,Biological child,Sibling,
Sibling,Biological child,Other relative,
Parent,Biological child,Other relative,
Grandchild,Biological child,Other relative,"Could also be a child (we assume not, in hopes that if they were a child it would be tracked)"
Parent-in-law,Biological child,Other nonrelative,
Child-in-law,Biological child,Other nonrelative,Could also be any kind of spouse
Other relative,Biological child,Other relative,
Roommate,Biological child,Roommate,
Foster child,Biological child,Sibling,
Other nonrelative,Biological child,Other nonrelative,
Opp-sex spouse,Adopted child,Parent,
Opp-sex partner,Adopted child,Parent,
Same-sex spouse,Adopted child,Parent,
Same-sex partner,Adopted child,Parent,
Biological child,Adopted child,Sibling,
Adopted child,Adopted child,Sibling,
Stepchild,Adopted child,Sibling,
Sibling,Adopted child,Other relative,
Parent,Adopted child,Other relative,
Grandchild,Adopted child,Other relative,"Could also be a child (we assume not, in hopes that if they were a child it would be tracked)"
Parent-in-law,Adopted child,Other nonrelative,
Child-in-law,Adopted child,Other nonrelative,Could also be any kind of spouse
Other relative,Adopted child,Other relative,
Roommate,Adopted child,Roommate,
Foster child,Adopted child,Sibling,
Other nonrelative,Adopted child,Other nonrelative,
Opp-sex spouse,Stepchild,Parent,
Opp-sex partner,Stepchild,Parent,
Same-sex spouse,Stepchild,Parent,
Same-sex partner,Stepchild,Parent,
Biological child,Stepchild,Other relative,
Adopted child,Stepchild,Other relative,
Stepchild,Stepchild,Sibling,
Sibling,Stepchild,Other relative,
Parent,Stepchild,Other relative,
Grandchild,Stepchild,Other relative,"Could also be a child (we assume not, in hopes that if they were a child it would be tracked)"
Parent-in-law,Stepchild,Other nonrelative,
Child-in-law,Stepchild,Other nonrelative,Could also be any kind of spouse
Other relative,Stepchild,Other relative,
Roommate,Stepchild,Roommate,
Foster child,Stepchild,Sibling,
Other nonrelative,Stepchild,Other nonrelative,
Opp-sex spouse,Sibling,Other nonrelative,
Opp-sex partner,Sibling,Other nonrelative,
Same-sex spouse,Sibling,Other nonrelative,
Same-sex partner,Sibling,Other nonrelative,
Biological child,Sibling,Other relative,
Adopted child,Sibling,Other relative,
Stepchild,Sibling,Other relative,
Sibling,Sibling,Sibling,
Parent,Sibling,Parent,
Grandchild,Sibling,Other relative,
Parent-in-law,Sibling,Other nonrelative,
Child-in-law,Sibling,Other nonrelative,
Other relative,Sibling,Other relative,
Roommate,Sibling,Roommate,
Foster child,Sibling,Other relative,
Other nonrelative,Sibling,Other nonrelative,
Opp-sex spouse,Parent,Child-in-law,
Opp-sex partner,Parent,Other nonrelative,
Same-sex spouse,Parent,Child-in-law,
Same-sex partner,Parent,Other nonrelative,
Biological child,Parent,Grandchild,
Adopted child,Parent,Grandchild,
Stepchild,Parent,Grandchild,
Sibling,Parent,Other relative,
Parent,Parent,Other relative,Most likely some kind of spouse/partner; but we need to handle the (rare) case in ACS where there are >2 parents
Grandchild,Parent,Other relative,
Parent-in-law,Parent,Other nonrelative,
Child-in-law,Parent,Other nonrelative,
Other relative,Parent,Other relative,
Roommate,Parent,Roommate,
Foster child,Parent,Grandchild,
Other nonrelative,Parent,Other nonrelative,
Opp-sex spouse,Grandchild,Other relative,
Opp-sex partner,Grandchild,Other relative,
Same-sex spouse,Grandchild,Other relative,
Same-sex partner,Grandchild,Other relative,
Biological child,Grandchild,Other relative,"Could be parent, but we are hoping that is tracked"
Adopted child,Grandchild,Other relative,
Stepchild,Grandchild,Other relative,
Sibling,Grandchild,Other relative,
Parent,Grandchild,Other relative,
Grandchild,Grandchild,Sibling,"Could be other relative (cousins), but this is probably the common case"
Parent-in-law,Grandchild,Other relative,
Child-in-law,Grandchild,Other relative,"Could be parent, but we are hoping that is tracked"
Other relative,Grandchild,Other relative,
Roommate,Grandchild,Roommate,
Foster child,Grandchild,Other relative,
Other nonrelative,Grandchild,Other nonrelative,
Opp-sex spouse,Parent-in-law,Biological child,Could be another kind of child
Opp-sex partner,Parent-in-law,Biological child,"This likely shouldn't happen; we assume it is due to a liberal use of ""in-law"""
Same-sex spouse,Parent-in-law,Biological child,Could be another kind of child
Same-sex partner,Parent-in-law,Biological child,"This likely shouldn't happen; we assume it is due to a liberal use of ""in-law"""
Biological child,Parent-in-law,Grandchild,
Adopted child,Parent-in-law,Grandchild,
Stepchild,Parent-in-law,Grandchild,
Sibling,Parent-in-law,Other nonrelative,
Parent,Parent-in-law,Other nonrelative,
Grandchild,Parent-in-law,Other relative,
Parent-in-law,Parent-in-law,Other relative,Most likely some kind of spouse/partner; but we need to handle the (rare) case in ACS where there are >2 parent-in-laws
Child-in-law,Parent-in-law,Other nonrelative,
Other relative,Parent-in-law,Other relative,
Roommate,Parent-in-law,Roommate,
Foster child,Parent-in-law,Grandchild,
Other nonrelative,Parent-in-law,Other nonrelative,
Opp-sex spouse,Child-in-law,Parent-in-law,
Opp-sex partner,Child-in-law,Parent-in-law,
Same-sex spouse,Child-in-law,Parent-in-law,
Same-sex partner,Child-in-law,Parent-in-law,
Biological child,Child-in-law,Other nonrelative,"Most likely some kind of spouse/partner, but we need to enforce only 1 spouse/partner"
Adopted child,Child-in-law,Other nonrelative,"Most likely some kind of spouse/partner, but we need to enforce only 1 spouse/partner"
Stepchild,Child-in-law,Other nonrelative,"Most likely some kind of spouse/partner, but we need to enforce only 1 spouse/partner"
Sibling,Child-in-law,Other nonrelative,
Parent,Child-in-law,Other nonrelative,
Grandchild,Child-in-law,Other relative,"We assume they are a niece/nephew, hoping that if they were a child, they would be tracked"
Parent-in-law,Child-in-law,Other nonrelative,
Child-in-law,Child-in-law,Other nonrelative,
Other relative,Child-in-law,Other nonrelative,
Roommate,Child-in-law,Roommate,
Foster child,Child-in-law,Other relative,"Most likely some kind of spouse/partner, but we need to enforce only 1 spouse/partner"
Other nonrelative,Child-in-law,Other nonrelative,Could be a relative of some kind
Opp-sex spouse,Other relative,Other nonrelative,"We assume that only the immediate family of your spouse is considered ""relatives"""
Opp-sex partner,Other relative,Other nonrelative,
Same-sex spouse,Other relative,Other nonrelative,"We assume that only the immediate family of your spouse is considered ""relatives"""
Same-sex partner,Other relative,Other nonrelative,
Biological child,Other relative,Other relative,
Adopted child,Other relative,Other relative,
Stepchild,Other relative,Other nonrelative,
Sibling,Other relative,Other relative,
Parent,Other relative,Other relative,
Grandchild,Other relative,Other relative,
Parent-in-law,Other relative,Other nonrelative,
Child-in-law,Other relative,Other nonrelative,
Other relative,Other relative,Other relative,
Roommate,Other relative,Roommate,
Foster child,Other relative,Other nonrelative,
Other nonrelative,Other relative,Other nonrelative,
Opp-sex spouse,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Opp-sex partner,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Same-sex spouse,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Same-sex partner,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Biological child,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Adopted child,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Stepchild,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Sibling,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Parent,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Grandchild,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Parent-in-law,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Child-in-law,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Other relative,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Roommate,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Foster child,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Other nonrelative,Roommate,Roommate,Questionable how people code roommate vs other nonrelative
Opp-sex spouse,Foster child,Parent,We assume throughout that foster children are labeled just like other types of children
Opp-sex partner,Foster child,Parent,We assume throughout that foster children are labeled just like other types of children
Same-sex spouse,Foster child,Parent,We assume throughout that foster children are labeled just like other types of children
Same-sex partner,Foster child,Parent,We assume throughout that foster children are labeled just like other types of children
Biological child,Foster child,Sibling,We assume throughout that foster children are labeled just like other types of children
Adopted child,Foster child,Sibling,We assume throughout that foster children are labeled just like other types of children
Stepchild,Foster child,Sibling,We assume throughout that foster children are labeled just like other types of children
Sibling,Foster child,Other relative,We assume throughout that foster children are labeled just like other types of children
Parent,Foster child,Other relative,We assume throughout that foster children are labeled just like other types of children
Grandchild,Foster child,Other relative,We assume throughout that foster children are labeled just like other types of children
Parent-in-law,Foster child,Other nonrelative,We assume throughout that foster children are labeled just like other types of children
Child-in-law,Foster child,Other nonrelative,We assume throughout that foster children are labeled just like other types of children
Other relative,Foster child,Other relative,We assume throughout that foster children are labeled just like other types of children
Roommate,Foster child,Roommate,We assume throughout that foster children are labeled just like other types of children
Foster child,Foster child,Sibling,We assume throughout that foster children are labeled just like other types of children
Other nonrelative,Foster child,Other nonrelative,We assume throughout that foster children are labeled just like other types of children
Opp-sex spouse,Other nonrelative,Other nonrelative,Could be a relative of some kind
Opp-sex partner,Other nonrelative,Other nonrelative,Could be a relative of some kind
Same-sex spouse,Other nonrelative,Other nonrelative,Could be a relative of some kind
Same-sex partner,Other nonrelative,Other nonrelative,Could be a relative of some kind
Biological child,Other nonrelative,Other nonrelative,Could be a relative of some kind
Adopted child,Other nonrelative,Other nonrelative,Could be a relative of some kind
Stepchild,Other nonrelative,Other nonrelative,Could be a relative of some kind
Sibling,Other nonrelative,Other nonrelative,Could be a relative of some kind
Parent,Other nonrelative,Other nonrelative,Could be a relative of some kind
Grandchild,Other nonrelative,Other nonrelative,Could be a relative of some kind
Parent-in-law,Other nonrelative,Other nonrelative,Could be a relative of some kind
Child-in-law,Other nonrelative,Other nonrelative,Could be a relative of some kind
Other relative,Other nonrelative,Other nonrelative,Could be a relative of some kind
Roommate,Other nonrelative,Other nonrelative,Could be a relative of some kind
Foster child,Other nonrelative,Other nonrelative,Could be a relative of some kind
Other nonrelative,Other nonrelative,Other nonrelative,Could be a relative of some kind
