PUMA,probability
4001,0.0022734784487891953
1502,0.001304674212813105
2600,0.0025705427310912564
1400,0.00481324424973204
2401,0.0012337534607319823
1501,0.0012484728621073098
3800,0.0013689043279054426
2100,0.0025437801831361155
3202,0.003161995040899864
3205,0.0010330343510684277
2200,0.0024206724625424688
3303,0.0017703425472325519
3102,0.0014679257553394628
1900,0.0038471162685514634
3304,0.0014438394621798362
3301,0.002056701810352556
1802,0.002165090129570876
1000,0.0031834050792639763
3503,0.0009139410126680521
3106,0.0023724998762232156
1806,0.0004830639905902881
3201,0.002582585877671069
500,0.005811487288458785
3403,0.00033185559464374363
3401,0.0009728186181693615
2402,0.0009580992167940341
3104,0.0017288605979020838
300,0.009983768514665207
2301,0.002015219861022088
701,0.0041187561302961405
1804,0.0010745163003988956
3701,0.0007747757633013208
1807,0.000517855302931971
3004,0.0012324153333342254
1200,0.0030629736134658433
3003,0.0011213507593203918
2003,0.0020058529692377892
1300,0.004969805155269612
900,0.007678175008329843
3206,0.0018452776815069455
3404,0.00031847432066617337
1801,0.0016285010430703065
200,0.00804482191531527
1702,0.0009179553948613231
2701,0.0006034954563884209
803,0.002318974780312934
3209,0.0013006598306198338
600,0.006673241332614313
1803,0.0009219697770545943
3501,0.001818515133551805
3103,0.0015508896540003987
2302,0.002653506629752192
101,0.009796430678979224
2002,0.0034590593232019244
3900,0.0018519683184957307
3603,0.0012056527853790847
3211,0.0008497108975757145
102,0.00930266166920688
1100,0.0034015198450983723
3210,0.0008845022099173974
3208,0.0013581993087233863
2802,0.0008122433304385177
2803,0.00031044555627963115
1600,0.0037400660767309014
3602,0.0017917525855966642
400,0.006797687180605716
3002,0.001782385693812365
3204,0.002822110681869578
1701,0.0018894358856329275
1805,0.0004469345508508483
802,0.0028234488092673347
3702,0.002389895532394057
2901,0.0021503707281955485
3001,0.001873378356859843
3601,0.0011962858935947855
2902,0.000998243038726745
3203,0.002613362807819481
801,0.001868025847268815
3105,0.0031178368367738817
2500,0.0030362110655107032
702,0.0022922122323577937
3504,0.0005339128317050554
2702,0.002677592922911819
3502,0.0014170769142246957
2801,0.0005513084878758967
3207,0.0011588183264575887
2703,0.0009085885030770239
2001,0.0021945289323215306
4002,0.001039724988057213
3302,0.0033653904053589324
3101,0.0013755949648942278
3402,0.000129798357582432
201,0.0003987619645315952
103,0.006413644617449449
104,0.005119675423818399
1202,0.0031941100984460326
1500,0.00360090082736417
800,0.004698165293524935
1102,0.003919375148030343
603,0.0008965453564972107
301,0.002807391280494251
302,0.0025357514187495734
502,0.0026735785407185474
700,0.004205734411150348
1201,0.002262773429607139
602,0.0021784714035484464
601,0.002298902869346579
605,0.00017261843431065697
1101,0.002685621687298361
604,0.0013127029771996474
1204,0.002349751710461346
105,0.0027150604900490157
1203,0.0017141411965267564
501,0.002459478157077423
100,0.010782630571126155
2501,0.0013809474744852558
2900,0.0018399251719159173
2700,0.0017020980499469433
1800,0.0021155794158538655
3100,0.0010892357017742232
3000,0.0008630921715532849
2504,0.0018332345349271323
1602,7.493513427439373e-05
1601,0.0003987619645315952
1603,0.00024353918639177962
1604,0.0002823448809267335
2503,0.0009299985414411364
2505,0.0005887760550130935
2502,0.0008510490249734716
1700,0.0032824265066979967
2800,0.0029893766065892066
2300,0.0029224702367013555
3200,0.0008804878277241263
4624,0.0002569204603693499
4606,0.0004389057864643061
2102,0.0022828453405734942
5907,0.0008323152414048732
2315,0.00019804285486804056
2512,0.000780128272892349
6703,0.0008002001838587045
5201,0.0004629920796239327
6801,0.0006811068454583287
2509,0.0005071502837499147
2321,0.002945218402463225
4609,0.00022881978501645227
6603,0.0001686040521173859
4200,0.001224386568947683
3801,0.0021945289323215306
2306,0.00031579806587065924
4620,0.00033586997683701474
2004,0.0016766736293895596
5203,0.0008109052030407606
2006,0.00034925125081458505
4701,0.0006757543358673005
6807,0.0003171361932684163
5905,0.0012257246963454402
4612,0.0005258840673185132
4903,0.0007520275975394512
2400,0.00385782128773352
5204,0.00031847432066617337
5202,0.0009326747962366505
5000,0.001216357804561141
4607,0.00035594188780337023
6200,0.00031445993847290226
4801,0.0004536251878396335
4626,0.0012364297155274967
5700,0.0006275817495480475
5800,0.0004255245124867358
4623,0.0003827044357585108
3700,0.0006677255714807583
4611,0.0008309771140071161
4605,0.0006423011509233748
2310,0.0006690636988785155
3305,0.0016967455403559151
2515,0.000260934842562621
5915,0.0010691637908078677
4000,0.002127622562433679
5100,0.0004910927549768302
6000,0.0006596968070942161
4604,0.0009380273058276786
5500,0.000999581166124502
5903,0.0011949477661970286
2511,0.00021811476583439603
4902,0.0011213507593203918
5901,0.0009861998921469317
1906,0.0011882571292082434
4100,0.0010263437140796427
3802,0.0020459967911705002
5911,0.0007533657249372084
2304,0.001038386860659456
2313,0.0004977833919656155
4621,0.0005820854180243084
4635,0.0018051338595742347
2319,0.00039742383713383815
6805,0.000693149992038142
6702,0.00043221514947552094
2314,0.00020473349185682571
6900,7.493513427439373e-05
