age_start,age_end,sex,race_ethnicity,household_domestic_migration_rate
0,15,Female,AIAN,0.15639803366602117
0,15,Female,Asian,0.15639803366602117
0,15,Female,Black,0.15639803366602117
0,15,Female,Latino,0.15639803366602117
0,15,Female,Multiracial or Other,0.15639803366602117
0,15,Female,NHOPI,0.15639803366602117
0,15,Female,White,0.15639803366602117
0,15,Male,AIAN,0.15639803366602117
0,15,Male,Asian,0.15639803366602117
0,15,Male,Black,0.15639803366602117
0,15,Male,Latino,0.15639803366602117
0,15,Male,Multiracial or Other,0.15639803366602117
0,15,Male,NHOPI,0.15639803366602117
0,15,Male,White,0.15639803366602117
15,18,Female,AIAN,0.3898305084745763
15,18,Female,Asian,0.0
15,18,Female,Black,0.06655777868517762
15,18,Female,Latino,0.13852489704230625
15,18,Female,Multiracial or Other,0.09390862944162437
15,18,Female,NHOPI,1.0
15,18,Female,White,0.1782456140350877
15,18,Male,AIAN,0.0
15,18,Male,Asian,0.15733333333333333
15,18,Male,Black,0.05599603567888999
15,18,Male,Latino,0.11923196035924435
15,18,Male,Multiracial or Other,0.0
15,18,Male,NHOPI,0.0
15,18,Male,White,0.09059080962800875
18,19,Female,AIAN,0.6280487804878049
18,19,Female,Asian,0.1573926868044515
18,19,Female,Black,0.32250661959399823
18,19,Female,Latino,0.27696893270663764
18,19,Female,Multiracial or Other,0.5164644714038128
18,19,Female,NHOPI,0.8095238095238095
18,19,Female,White,0.44578523959426375
18,19,Male,AIAN,0.539651837524178
18,19,Male,Asian,0.17292576419213973
18,19,Male,Black,0.15667361835245047
18,19,Male,Latino,0.19985376553741166
18,19,Male,Multiracial or Other,0.1814977973568282
18,19,Male,NHOPI,0.7931034482758621
18,19,Male,White,0.41153942219632006
19,20,Female,AIAN,0.41367323290845887
19,20,Female,Asian,0.3388537807801264
19,20,Female,Black,0.3733889017519488
19,20,Female,Latino,0.36920335724668263
19,20,Female,Multiracial or Other,0.4496995541771661
19,20,Female,NHOPI,0.0
19,20,Female,White,0.439461696861285
19,20,Male,AIAN,0.429732868757259
19,20,Male,Asian,0.31990572101992715
19,20,Male,Black,0.30337078651685395
19,20,Male,Latino,0.2812341074758434
19,20,Male,Multiracial or Other,0.44019933554817275
19,20,Male,NHOPI,0.08974358974358974
19,20,Male,White,0.4114989962078965
20,21,Female,AIAN,0.24354243542435425
20,21,Female,Asian,0.3494294461452825
20,21,Female,Black,0.31434630552868514
20,21,Female,Latino,0.37107277208457645
20,21,Female,Multiracial or Other,0.4013217866909754
20,21,Female,NHOPI,0.2506527415143603
20,21,Female,White,0.4265267428017108
20,21,Male,AIAN,0.3088042049934297
20,21,Male,Asian,0.27929888876159925
20,21,Male,Black,0.2873027705305007
20,21,Male,Latino,0.30690766521580226
20,21,Male,Multiracial or Other,0.4333398399375366
20,21,Male,NHOPI,0.13529411764705881
20,21,Male,White,0.39928533181803283
21,22,Female,AIAN,0.3455964325529543
21,22,Female,Asian,0.2913736753491136
21,22,Female,Black,0.3385944363103953
21,22,Female,Latino,0.33890357563244117
21,22,Female,Multiracial or Other,0.35122237721165844
21,22,Female,NHOPI,0.3834080717488789
21,22,Female,White,0.3818492187060346
21,22,Male,AIAN,0.42565597667638483
21,22,Male,Asian,0.2745533558667311
21,22,Male,Black,0.3103848793622301
21,22,Male,Latino,0.2990401355102809
21,22,Male,Multiracial or Other,0.39010752688172046
21,22,Male,NHOPI,0.3073394495412844
21,22,Male,White,0.3793479405085944
22,25,Female,AIAN,0.29249095937034675
22,25,Female,Asian,0.22985934978095457
22,25,Female,Black,0.2977332247499751
22,25,Female,Latino,0.2917416067146283
22,25,Female,Multiracial or Other,0.34687306765602677
22,25,Female,NHOPI,0.20601336302895323
22,25,Female,White,0.3405080965685936
22,25,Male,AIAN,0.28628343767785996
22,25,Male,Asian,0.24262288509341673
22,25,Male,Black,0.2871904293831363
22,25,Male,Latino,0.2776377868325113
22,25,Male,Multiracial or Other,0.3411303078233362
22,25,Male,NHOPI,0.23605947955390336
22,25,Male,White,0.32254748626170243
25,30,Female,AIAN,0.22653541622084314
25,30,Female,Asian,0.23269267991942247
25,30,Female,Black,0.25118178502235267
25,30,Female,Latino,0.21373839506209705
25,30,Female,Multiracial or Other,0.2685600936200586
25,30,Female,NHOPI,0.22101636520241172
25,30,Female,White,0.24245555098425584
25,30,Male,AIAN,0.2185510567863509
25,30,Male,Asian,0.21819642140020526
25,30,Male,Black,0.23442870349154177
25,30,Male,Latino,0.2087033958030955
25,30,Male,Multiracial or Other,0.2621335843604282
25,30,Male,NHOPI,0.24848484848484848
25,30,Male,White,0.2340163302170724
30,40,Female,AIAN,0.15073855629208205
30,40,Female,Asian,0.15612244897959185
30,40,Female,Black,0.169611121002895
30,40,Female,Latino,0.13867764777027358
30,40,Female,Multiracial or Other,0.16318465414841923
30,40,Female,NHOPI,0.12527342595329588
30,40,Female,White,0.14670926047884267
30,40,Male,AIAN,0.12343622038349665
30,40,Male,Asian,0.17751288983587446
30,40,Male,Black,0.16083504806126403
30,40,Male,Latino,0.13029899243747534
30,40,Male,Multiracial or Other,0.16815197756556852
30,40,Male,NHOPI,0.20814538798457213
30,40,Male,White,0.1385305711897253
40,50,Female,AIAN,0.0983409059617238
40,50,Female,Asian,0.07921851667496267
40,50,Female,Black,0.10897985394483356
40,50,Female,Latino,0.0898547367233048
40,50,Female,Multiracial or Other,0.09579646600883937
40,50,Female,NHOPI,0.12383699963937973
40,50,Female,White,0.08529946572608003
40,50,Male,AIAN,0.11039197149298233
40,50,Male,Asian,0.08954587904084339
40,50,Male,Black,0.09997202819991961
40,50,Male,Latino,0.08026194842219703
40,50,Male,Multiracial or Other,0.10088233040317901
40,50,Male,NHOPI,0.11040051163162523
40,50,Male,White,0.07666347635681
50,60,Female,AIAN,0.0669263948796438
50,60,Female,Asian,0.050549972014698366
50,60,Female,Black,0.06379202886373922
50,60,Female,Latino,0.05709463239304645
50,60,Female,Multiracial or Other,0.07400584795321638
50,60,Female,NHOPI,0.11591466868038512
50,60,Female,White,0.053702419412472585
50,60,Male,AIAN,0.06109165896934676
50,60,Male,Asian,0.052593234085254376
50,60,Male,Black,0.06082678025483189
50,60,Male,Latino,0.05170379820134166
50,60,Male,Multiracial or Other,0.0664172906432485
50,60,Male,NHOPI,0.08079530049706281
50,60,Male,White,0.05010462437803193
60,70,Female,AIAN,0.03945793433652531
60,70,Female,Asian,0.03491186632571395
60,70,Female,Black,0.03701553291379483
60,70,Female,Latino,0.03966686152378265
60,70,Female,Multiracial or Other,0.0442603550295858
60,70,Female,NHOPI,0.05347000969663388
60,70,Female,White,0.03953756115440042
