age_start,age_end,sex,race_ethnicity,born_in_us,state,household_emigration_rate
0,15,Female,Asian,0,8,0.0033405186933626904
0,15,Female,Asian,0,9,0.0026994483532692057
0,15,Female,Asian,0,10,0.003179707427417247
0,15,Female,Asian,0,11,0.019928053925836686
0,15,Female,Asian,0,12,0.00843045024791019
0,15,Female,Asian,0,13,0.0033980493787308355
0,15,Female,Asian,0,15,0.0019103459833309578
0,15,Female,Asian,0,16,0.006415012981843857
0,15,Female,Asian,0,17,0.0036147704646657852
0,15,Female,Asian,0,18,0.004672143433688461
0,15,Female,Asian,0,19,0.00752971565450549
0,15,Female,Asian,0,20,0.009879991830205012
0,15,Female,Asian,0,21,0.0021010207705238837
0,15,Female,Asian,0,22,0.003352859578201357
0,15,Female,Asian,0,23,0.0031182856636593997
0,15,Female,Asian,0,24,0.004431320142595935
0,15,Female,Asian,0,25,0.0072763864090661535
0,15,Female,Asian,0,26,0.005714833433776573
0,15,Female,Asian,0,27,0.001468877243329609
0,15,Female,Asian,0,28,0.004989762551468152
0,15,Female,Asian,0,29,0.007072365359214291
0,15,Female,Asian,0,30,0.01643784167195148
0,15,Female,Asian,0,31,0.003950426781811586
0,15,Female,Asian,0,32,0.0023443938353445745
0,15,Female,Asian,0,33,0.0017072853587921082
0,15,Female,Asian,0,34,0.002416926974461531
0,15,Female,Asian,0,35,0.0063435191527897675
0,15,Female,Asian,0,36,0.004465448746549062
0,15,Female,Asian,0,37,0.0034332655248947752
0,15,Female,Asian,0,38,0.002969382892202132
0,15,Female,Asian,0,39,0.004588276230871107
0,15,Female,Asian,0,40,0.003936103173558069
0,15,Female,Asian,0,41,0.004729801828892755
0,15,Female,Asian,0,42,0.004334867829869508
0,15,Female,Asian,0,44,0.0039362458210869195
0,15,Female,Asian,0,45,0.007595152328905754
0,15,Female,Asian,0,46,0.002646829869830416
0,15,Female,Asian,0,47,0.0037488272626153194
0,15,Female,Asian,0,48,0.004386986166332074
0,15,Female,Asian,0,49,0.005527214241295845
0,15,Female,Asian,0,50,0.004810032342154534
0,15,Female,Asian,0,51,0.0036101951585553295
0,15,Female,Asian,0,53,0.0027920038503862505
0,15,Female,Asian,0,54,0.0072380700336995
