PUMA,probability
4001,0.001562852610199634
1502,0.001148561939823438
2600,0.0029606625956152552
1400,0.006630334834435302
2401,0.0005389146931722876
1501,0.0024571141791823988
3800,0.0007797421966836537
2100,0.005308309727747033
3202,0.0018996742934323139
3205,0.000848790641746353
2200,0.0029556102703667654
3303,0.0010744611695122485
3102,0.001190664650227523
1900,0.004095751668109386
3304,0.003494524963539053
3301,0.010463365589623198
1802,0.0015796936943612682
1000,0.005114637259888243
3503,0.0011115115546678433
3106,0.001342234407682229
1806,0.0004496569471156275
3201,0.0019939843647374645
500,0.010823764790682165
3403,9.767828813747713e-05
3401,0.0003940813693822353
2402,0.001487067731472281
3104,0.0016268487300138432
300,0.01578009585945105
2301,0.001524118116627876
701,0.004966435719265864
1804,0.0009953080739525685
3701,0.0008184766902554119
1807,0.0007376394862795687
3004,0.0013792847928378238
1200,0.009868875318717519
3003,0.0009043662194797452
2003,0.0023762769752065558
1300,0.005525559713432112
900,0.009540474177565655
3206,0.000806687931342268
3404,4.378681882024837e-05
1801,0.0040334396567113405
200,0.011185848100157296
1702,0.0017683138369715687
2701,0.001042463109605144
803,0.0035214706981976673
3209,0.002152290555856824
600,0.00928617380672498
1803,0.001106459229419353
3501,0.0043012128948813205
3103,0.0016992653919088697
2302,0.0036545152630745757
101,0.011734867443826564
2002,0.002672680056451314
3900,0.001151930156655765
3603,0.0012378196858800982
3211,0.0012176103848861373
102,0.006621914292354484
1100,0.007386499513292667
3210,0.0015392750923733467
3208,0.001473594864142974
2802,0.000734271269447242
2803,0.000333453466400353
1600,0.005389146931722877
3602,0.002120292495949719
400,0.01090628610307417
3002,0.0009885716402879153
3204,0.001291711155197327
1701,0.004937805876191085
1805,0.001160350698736582
802,0.002342594806883288
3702,0.0012529766616255688
2901,0.001790207246381693
3001,0.0016369533805108238
3601,0.001249608444793242
2902,0.0008622635090756603
3203,0.0016116917542683728
801,0.0025430037084067324
3105,0.0033244300135065494
2500,0.004131117944848817
702,0.002485744022257177
3504,0.0004530251639479543
2702,0.00359220325167653
3502,0.0026440502133765363
2801,0.0013826530096701505
3207,0.0005961743793218432
2703,0.0008083720397584315
2001,0.002086610327626451
4002,0.0008336336660008824
3302,0.004747501625164621
3101,0.0009464689298838302
3402,0.000325032924319536
201,0.0008184766902554119
103,0.00711030573304187
104,0.0036881974313978435
1202,0.002509321540083464
1500,0.006733065447821269
800,0.0067246449057404515
1102,0.0016521103562562943
603,0.0005102848500975098
301,0.0028040405129120594
302,0.0018137847642079807
502,0.001591482453274412
700,0.009153129241848072
1201,0.0037387206838827456
602,0.001891253751351497
601,0.003742088900715072
605,0.00024251161192752945
1101,0.0021674475316022946
604,0.0015359068755410198
1204,0.0018356781736181048
105,0.005771439542191968
1203,0.001101406904170863
501,0.0014921200567207713
100,0.014501857571583027
2501,0.0013405502992660655
2900,0.0015881142364420852
2700,0.0035989396853411833
1800,0.0031981218822942944
3100,0.0014466491294843598
3000,0.0005725968614955556
2504,0.0006180677887319675
1602,0.00017009495003250327
1601,0.0003789243936367647
1603,0.0008521588585786798
1604,0.00035197865897815034
2503,0.0011805599997305426
2505,0.0007477441367765491
2502,0.0006820639085461766
1700,0.004919280683613288
2800,0.003994705163139582
2300,0.00608973603284685
3200,0.002423432010859131
4624,0.0002543003708406733
4606,4.378681882024837e-05
2102,0.0015055929240500787
5907,0.0010963545789223726
2315,0.00024924804559218306
2512,0.0003317693579841896
6703,0.0011418255061587843
5201,0.000591122054073353
6801,5.3891469317228766e-05
2509,0.0005422829100046145
2321,0.0009329960625545229
4609,0.00019535657627495426
6603,0.00011115115546678432
4200,0.0005422829100046145
3801,0.0011502460482396015
2306,0.00021556587726891506
4620,0.00015325386587086929
2004,0.0011923487586436865
5203,0.0004816550070227321
2006,0.00017851549211332028
4701,0.0006534340654713987
6807,0.0012310832522154445
5905,0.0012933952636134903
4612,0.001143509614574948
4903,0.0003149282738225556
2400,0.0032318040506175622
5204,0.0001313604564607451
5202,0.0005389146931722876
5000,0.0004260794292893399
4607,0.00023914339509520263
6200,0.0020714533518809805
4801,0.00022061820251740525
4626,0.00038397671888525494
5700,0.0005624922109985752
5800,0.00047828679019040526
4623,0.00023745928667903924
3700,0.0011755076744820524
4611,0.0002778778886669608
4605,0.0001650426247840131
2310,0.00047828679019040526
3305,0.002271862253404425
2515,0.00024419572034369285
5915,0.0006197518971481307
4000,0.001891253751351497
5100,0.00021724998568507846
6000,0.00015493797428703268
4604,0.001975459172159667
5500,0.0017295793433998107
5903,0.001084565820009229
2511,0.0002593526960891634
4902,0.000717430185285608
5901,0.0006786956917138497
1906,0.0008218449070877386
4100,0.00127823828786802
3802,0.0032958001704317718
5911,0.000899313894231255
2304,0.0009750987729586079
2313,0.001101406904170863
