age_start,age_end,sex,race_ethnicity,born_in_us,state,group_quarters_person_emigration_rate
0,15,Female,AIAN,0,1,0.0
0,15,Female,AIAN,0,2,0.0
0,15,Female,AIAN,0,4,0.0
0,15,Female,AIAN,0,5,0.0
0,15,Female,AIAN,0,6,0.0
0,15,Female,AIAN,0,8,0.0032967189316143
0,15,Female,AIAN,0,9,0.0
0,15,Female,AIAN,0,10,0.0032967189316143
0,15,Female,AIAN,0,11,0.0032967189316143
0,15,Female,AIAN,0,12,0.0
0,15,Female,AIAN,0,13,0.0
0,15,Female,AIAN,0,15,0.0032967189316143
0,15,Female,AIAN,0,16,0.0
0,15,Female,AIAN,0,17,0.0
0,15,Female,AIAN,0,18,0.0
0,15,Female,AIAN,0,19,0.0032967189316143
0,15,Female,AIAN,0,20,0.0
0,15,Female,AIAN,0,21,0.0032967189316143
0,15,Female,AIAN,0,22,0.0032967189316143
0,15,Female,AIAN,0,23,0.0
0,15,Female,AIAN,0,24,0.0
0,15,Female,AIAN,0,25,0.0
0,15,Female,AIAN,0,26,0.0
0,15,Female,AIAN,0,27,0.0
0,15,Female,AIAN,0,28,0.0
0,15,Female,AIAN,0,29,0.0
0,15,Female,AIAN,0,30,0.0
0,15,Female,AIAN,0,31,0.0032967189316143
0,15,Female,AIAN,0,32,0.0
0,15,Female,AIAN,0,33,0.0032967189316143
0,15,Female,AIAN,0,34,0.0
0,15,Female,AIAN,0,35,0.0032967189316143
0,15,Female,AIAN,0,36,0.0
0,15,Female,AIAN,0,37,0.0
0,15,Female,AIAN,0,38,0.0032967189316143
0,15,Female,AIAN,0,39,0.0
0,15,Female,AIAN,0,40,0.0032967189316143
0,15,Female,AIAN,0,41,0.0
0,15,Female,AIAN,0,42,0.0
0,15,Female,AIAN,0,44,0.0032967189316143
0,15,Female,AIAN,0,45,0.0032967189316143
0,15,Female,AIAN,0,46,0.0032967189316143
0,15,Female,AIAN,0,47,0.0032967189316143
0,15,Female,AIAN,0,48,0.0
0,15,Female,AIAN,0,49,0.0032967189316143
0,15,Female,AIAN,0,50,0.0032967189316143
0,15,Female,AIAN,0,51,0.0
0,15,Female,AIAN,0,53,0.0
0,15,Female,AIAN,0,54,0.0032967189316143
0,15,Female,AIAN,0,55,0.0
0,15,Female,AIAN,0,56,0.0032967189316143
0,15,Female,AIAN,1,1,0.0
0,15,Female,AIAN,1,2,0.0
0,15,Female,AIAN,1,4,0.0
0,15,Female,AIAN,1,5,0.0
0,15,Female,AIAN,1,6,0.0
0,15,Female,AIAN,1,8,0.0
0,15,Female,AIAN,1,9,0.0
0,15,Female,AIAN,1,10,0.0
0,15,Female,AIAN,1,11,0.0
0,15,Female,AIAN,1,12,0.0
0,15,Female,AIAN,1,13,0.0
0,15,Female,AIAN,1,15,0.0
0,15,Female,AIAN,1,16,0.0
0,15,Female,AIAN,1,17,0.0
0,15,Female,AIAN,1,18,0.0
0,15,Female,AIAN,1,19,0.0
0,15,Female,AIAN,1,20,0.0
0,15,Female,AIAN,1,21,0.0
0,15,Female,AIAN,1,22,0.0
0,15,Female,AIAN,1,23,0.0
0,15,Female,AIAN,1,24,0.0
0,15,Female,AIAN,1,25,0.0
0,15,Female,AIAN,1,26,0.0
0,15,Female,AIAN,1,27,0.0
0,15,Female,AIAN,1,28,0.0
0,15,Female,AIAN,1,29,0.0
0,15,Female,AIAN,1,30,0.0
0,15,Female,AIAN,1,31,0.0
0,15,Female,AIAN,1,32,0.0
0,15,Female,AIAN,1,33,0.0
0,15,Female,AIAN,1,34,0.0
0,15,Female,AIAN,1,35,0.0
0,15,Female,AIAN,1,36,0.0
0,15,Female,AIAN,1,37,0.0
0,15,Female,AIAN,1,38,0.0
0,15,Female,AIAN,1,39,0.0
0,15,Female,AIAN,1,40,0.0
0,15,Female,AIAN,1,41,0.0
0,15,Female,AIAN,1,42,0.0
0,15,Female,AIAN,1,44,0.0
0,15,Female,AIAN,1,45,0.0
0,15,Female,AIAN,1,46,0.0
0,15,Female,AIAN,1,47,0.0
0,15,Female,AIAN,1,48,0.0
0,15,Female,AIAN,1,49,0.0
0,15,Female,AIAN,1,50,0.0
0,15,Female,AIAN,1,51,0.0
0,15,Female,AIAN,1,53,0.0
0,15,Female,AIAN,1,54,0.0
0,15,Female,AIAN,1,55,0.0
0,15,Female,AIAN,1,56,0.0
0,15,Female,Asian,0,1,0.0026311033532524
0,15,Female,Asian,0,2,0.0080883257926428
0,15,Female,Asian,0,4,0.0061565302479142
0,15,Female,Asian,0,5,0.004522876230484
0,15,Female,Asian,0,6,0.0064052741505234
0,15,Female,Asian,0,8,0.0064775151474978
0,15,Female,Asian,0,9,0.0035406119280519
0,15,Female,Asian,0,10,0.0011225882296152
0,15,Female,Asian,0,11,0.025190336684714
0,15,Female,Asian,0,12,0.004730533196599
0,15,Female,Asian,0,13,0.0034929365949589
0,15,Female,Asian,0,15,0.0026124279683395
0,15,Female,Asian,0,16,0.004628272386091
0,15,Female,Asian,0,17,0.0248794039871741
0,15,Female,Asian,0,18,0.0134098045799707
0,15,Female,Asian,0,19,0.0033917147705495
0,15,Female,Asian,0,20,0.0029900498921955
0,15,Female,Asian,0,21,0.0035465912922712
0,15,Female,Asian,0,22,0.0053305346482746
0,15,Female,Asian,0,23,0.0057577912422203
0,15,Female,Asian,0,24,0.0020074461358011
0,15,Female,Asian,0,25,0.0201044868478358
0,15,Female,Asian,0,26,0.0094097560398376
0,15,Female,Asian,0,27,0.0221480994680798
0,15,Female,Asian,0,28,0.0092787427212759
0,15,Female,Asian,0,29,0.0031467787236634
0,15,Female,Asian,0,30,0.0156461718538596
0,15,Female,Asian,0,31,0.0032447221364998
0,15,Female,Asian,0,32,0.0009426881327551
0,15,Female,Asian,0,33,0.0060469953685419
0,15,Female,Asian,0,34,0.0013531317160949
0,15,Female,Asian,0,35,0.0109527908592612
0,15,Female,Asian,0,36,0.0087524246840735
0,15,Female,Asian,0,37,0.0073057759087011
0,15,Female,Asian,0,38,0.0056238891203082
0,15,Female,Asian,0,39,0.0034351795969347
0,15,Female,Asian,0,40,0.0045954707671553
0,15,Female,Asian,0,41,0.0200028736423279
0,15,Female,Asian,0,42,0.0038857079116097
0,15,Female,Asian,0,44,0.0059976992106462
