draw,location,age_group_start,age_group_end,sex,year_start,year_end,cause,measure,unit,parameter,value
0,China,0,1,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.005987515976847625
0,China,1,2,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.006017421936066936
0,China,2,3,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.006047327895286247
0,China,3,4,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.006077233854505558
0,China,4,5,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.00610713981372487
0,China,5,6,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.006137045772944181
0,China,6,7,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.006166951732163492
0,China,7,8,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.006196857691382803
0,China,8,9,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.006226763650602114
0,China,9,10,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.0062566696098214246
0,China,10,11,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.0062865755690407355
0,China,11,12,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.006316481528260047
0,China,12,13,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.006346387487479358
0,China,13,14,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.006376293446698669
0,China,14,15,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.00640619940591798
0,China,15,16,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.48256461438328674
0,China,16,17,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.38623651734474135
0,China,17,18,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.28990842030619596
0,China,18,19,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.19358032326765057
0,China,19,20,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.09725222622910518
0,China,20,21,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.12835148668808272
0,China,21,22,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.12676233349673482
0,China,22,23,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.12517318030538693
0,China,23,24,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.12358402711403903
0,China,24,25,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.12199487392269114
0,China,25,26,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.12040572073134324
0,China,26,27,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.11881656753999535
0,China,27,28,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.11722741434864746
0,China,28,29,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.11563826115729955
0,China,29,30,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.11404910796595166
0,China,30,31,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.11245995477460377
0,China,31,32,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.11087080158325588
0,China,32,33,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.10928164839190799
0,China,33,34,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.10769249520056008
0,China,34,35,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.10610334200921219
0,China,35,36,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.1045141888178643
0,China,36,37,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.1029250356265164
0,China,37,38,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.1013358824351685
0,China,38,39,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.09974672924382061
0,China,39,40,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.09815757605247272
0,China,40,41,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.09656842286112483
0,China,41,42,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.09497926966977693
0,China,42,43,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.09339011647842904
0,China,43,44,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.09180096328708115
0,China,44,45,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.09021181009573324
0,China,45,46,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.08862265690438535
0,China,46,47,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.08703350371303745
0,China,47,48,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.08544435052168955
0,China,48,49,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.08385519733034166
0,China,49,50,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.08226604413899377
0,China,50,51,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.08067689094764588
0,China,51,52,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.07908773775629799
0,China,52,53,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.0774985845649501
0,China,53,54,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.0759094313736022
0,China,54,55,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.0743202781822543
0,China,55,56,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.0727311249909064
0,China,56,57,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.0711419717995585
0,China,57,58,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.06955281860821061
0,China,58,59,female,2020,2021,hrHPV,incidence,per person-year,continuous,0.06796366541686272
