age_start,age_end,sex,race_ethnicity,born_in_us,state,gq_person_emigration_rate
0,15,Female,Asian,0,32,0.0006670344524612612
0,15,Female,Asian,0,33,0.003703144310193265
0,15,Female,Asian,0,34,0.0007951803101970638
0,15,Female,Asian,0,35,0.007742666611613029
0,15,Female,Asian,0,36,0.005264395322575403
0,15,Female,Asian,0,37,0.0042361231959891065
0,15,Female,Asian,0,38,0.004442062486653432
0,15,Female,Asian,0,39,0.0021467352539801554
0,15,Female,Asian,0,40,0.0027646928920240193
0,15,Female,Asian,0,41,0.011838249985332732
0,15,Female,Asian,0,42,0.00242487196841391
0,15,Female,Asian,0,44,0.003826856736308024
0,15,Female,Asian,0,45,0.0018381772141254726
0,15,Female,Asian,0,46,0.0018732807030910916
0,15,Female,Asian,0,47,0.0023732117347699607
0,15,Female,Asian,0,48,0.005055809556909474
0,15,Female,Asian,0,49,0.01592513639634013
0,15,Female,Asian,0,50,0.004471931629311369
0,15,Female,Asian,0,51,0.0035286679382912373
0,15,Female,Asian,0,53,0.009152586676471359
0,15,Female,Asian,0,54,0.0021985349637913547
0,15,Female,Asian,0,55,0.00380395362000041
0,15,Female,Asian,0,56,0.003680877575757636
0,15,Female,Asian,1,1,3.558798218973715e-05
0,15,Female,Asian,1,2,8.396782869841408e-05
0,15,Female,Asian,1,4,6.321256690027548e-05
0,15,Female,Asian,1,5,4.724183640223972e-05
0,15,Female,Asian,1,6,2.4253253420795613e-05
0,15,Female,Asian,1,8,7.301577316489261e-05
0,15,Female,Asian,1,9,4.3619764456808006e-05
0,15,Female,Asian,1,10,1.573588918784281e-05
0,15,Female,Asian,1,11,0.0002938657926655768
0,15,Female,Asian,1,12,4.452638614300174e-05
0,15,Female,Asian,1,13,4.1040263822049175e-05
0,15,Female,Asian,1,15,2.4938276755805004e-05
0,15,Female,Asian,1,16,0.013313620268943654
0,15,Female,Asian,1,17,3.7615144260628005e-05
0,15,Female,Asian,1,18,6.429968196923829e-05
