age_start,age_end,sex,race_ethnicity,s,scale
21,22,Male,Multiracial or Other,0.637913,15092.235000
21,22,Male,NHOPI,0.678527,15341.325000
21,22,Male,White,0.638880,16302.735000
22,25,Female,AIAN,0.586656,17389.584000
22,25,Female,Asian,0.751080,19967.317700
22,25,Female,Black,0.582658,17386.835000
22,25,Female,Latino,0.465947,19016.216100
22,25,Female,Multiracial or Other,0.562706,19468.983150
22,25,Female,NHOPI,0.515512,18476.433000
22,25,Female,White,0.561789,20455.100000
22,25,Male,AIAN,0.522176,21736.980000
22,25,Male,Asian,0.840808,21355.420000
22,25,Male,Black,0.508943,19824.125760
22,25,Male,Latino,0.494282,23011.987500
22,25,Male,Multiracial or Other,0.642364,21736.980000
22,25,Male,NHOPI,0.671650,21355.420000
22,25,Male,White,0.570449,25092.618500
25,30,Female,AIAN,0.468676,26108.200000
25,30,Female,Asian,0.629148,40910.200000
25,30,Female,Black,0.513102,27166.023000
25,30,Female,Latino,0.546907,27171.225000
25,30,Female,Multiracial or Other,0.601209,32196.768000
25,30,Female,NHOPI,0.559357,28125.762500
25,30,Female,White,0.528742,34209.066000
25,30,Male,AIAN,0.582466,30285.512000
25,30,Male,Asian,0.690914,44846.382000
25,30,Male,Black,0.554853,30184.470000
25,30,Male,Latino,0.595407,31518.621000
25,30,Male,Multiracial or Other,0.638439,36221.364000
25,30,Male,NHOPI,0.610708,32728.160000
25,30,Male,White,0.579557,40910.200000
30,40,Female,AIAN,0.584838,31819.575800
30,40,Female,Asian,0.728331,54342.450000
30,40,Female,Black,0.643779,33148.894500
30,40,Female,Latino,0.671304,30682.650000
30,40,Female,Multiracial or Other,0.712154,41654.568600
30,40,Female,NHOPI,0.723066,32791.899200
30,40,Female,White,0.666660,42817.448000
30,40,Male,AIAN,0.663268,37371.985000
30,40,Male,Asian,0.673270,73448.877000
30,40,Male,Black,0.651349,38039.715000
30,40,Male,Latino,0.702201,37799.093400
30,40,Male,Multiracial or Other,0.746741,52168.752000
30,40,Male,NHOPI,0.635441,41932.955000
30,40,Male,White,0.742312,56393.712000
40,50,Female,AIAN,0.665893,35796.425000
40,50,Female,Asian,0.838671,51955.954000
40,50,Female,Black,0.656197,39721.081200
40,50,Female,Latino,0.786226,30285.512000
40,50,Female,Multiracial or Other,0.788880,45276.705000
40,50,Female,NHOPI,0.765938,39475.598400
40,50,Female,White,0.731303,46785.894400
40,50,Male,AIAN,0.687695,46023.975000
40,50,Male,Asian,0.768706,82504.218000
40,50,Male,Black,0.716519,44906.104000
40,50,Male,Latino,0.790711,41252.109000
40,50,Male,Multiracial or Other,0.806935,61930.718000
40,50,Male,NHOPI,0.668095,51253.008000
40,50,Male,White,0.806697,69405.115000
50,60,Female,AIAN,0.703966,35507.152000
50,60,Female,Asian,0.914543,42546.608000
50,60,Female,Black,0.693515,39239.811000
50,60,Female,Latino,0.803075,30184.470000
50,60,Female,Multiracial or Other,0.817422,42955.710000
50,60,Female,NHOPI,0.664083,36304.214000
50,60,Female,White,0.764647,45647.658000
50,60,Male,AIAN,0.754220,48473.465400
50,60,Male,Asian,0.949360,62659.680000
50,60,Male,Black,0.718219,47087.773200
50,60,Male,Latino,0.829589,41773.120000
50,60,Male,Multiracial or Other,0.833131,62381.238000
50,60,Male,NHOPI,0.733708,52168.752000
50,60,Male,White,0.846177,70152.554700
60,70,Female,AIAN,0.697436,37227.513000
60,70,Female,Asian,0.889354,40346.574900
60,70,Female,Black,0.730301,38233.662000
60,70,Female,Latino,0.837370,30184.470000
60,70,Female,Multiracial or Other,0.781978,43264.407000
60,70,Female,NHOPI,0.764179,38148.399900
60,70,Female,White,0.772977,44467.486240
60,70,Male,AIAN,0.739343,50127.744000
60,70,Male,Asian,0.972413,54342.450000
60,70,Male,Black,0.755159,46637.628000
60,70,Male,Latino,0.860203,40910.200000
60,70,Male,Multiracial or Other,0.862873,61365.300000
60,70,Male,NHOPI,0.761372,49651.351500
60,70,Male,White,0.888068,68418.132000
70,80,Female,AIAN,0.704415,38837.351400
70,80,Female,Asian,0.894574,46234.484300
70,80,Female,Black,0.756558,38474.454600
70,80,Female,Latino,0.840320,32170.730400
70,80,Female,Multiracial or Other,0.817426,35387.323000
70,80,Female,NHOPI,0.616609,43465.636800
70,80,Female,White,0.845549,42710.840000
70,80,Male,AIAN,0.771371,55203.760700
70,80,Male,Asian,1.068379,62388.055000
70,80,Male,Black,0.829349,48263.249200
70,80,Male,Latino,0.969866,42485.242700
70,80,Male,Multiracial or Other,0.957572,63940.768950
70,80,Male,NHOPI,1.096027,48263.249200
70,80,Male,White,0.983216,68254.117200
80,100,Female,AIAN,0.542047,38032.432200
80,100,Female,Asian,0.840569,39614.304100
80,100,Female,Black,0.933880,32780.569700
80,100,Female,Latino,0.919880,30431.772000
80,100,Female,Multiracial or Other,0.854762,33202.917000
80,100,Female,NHOPI,0.144836,38909.194200
80,100,Female,White,0.915004,37227.513000
80,100,Male,AIAN,0.835419,43467.087500
80,100,Male,Asian,1.057944,56164.754600
80,100,Male,Black,0.789242,47046.730000
80,100,Male,Latino,1.200565,41250.956000
80,100,Male,Multiracial or Other,0.985665,60368.940000
80,100,Male,NHOPI,0.804978,25946.835300
80,100,Male,White,1.078515,60444.820500
