age_start,age_end,sex,race_ethnicity,s,scale
18,19,Female,AIAN,0.978649,6136.530000
18,19,Female,Asian,1.099980,3681.918000
18,19,Female,Black,0.946058,5216.875200
18,19,Female,Latino,0.960920,5533.819500
18,19,Female,Multiracial or Other,0.975113,4909.224000
18,19,Female,NHOPI,1.130152,5434.245000
18,19,Female,White,0.819119,4999.505400
18,19,Male,AIAN,0.945247,6443.356500
18,19,Male,Asian,1.077990,4225.825800
18,19,Male,Black,0.905649,5338.855000
18,19,Male,Latino,0.896087,7043.043000
18,19,Male,Multiracial or Other,0.905570,5221.640000
18,19,Male,NHOPI,0.866127,5542.929900
18,19,Male,White,0.948231,5430.505600
19,20,Female,AIAN,0.960440,8354.624000
19,20,Female,Asian,1.034844,4271.084000
19,20,Female,Black,0.841813,7310.296000
19,20,Female,Latino,0.722677,8354.624000
19,20,Female,Multiracial or Other,0.853382,6683.699200
19,20,Female,NHOPI,0.291348,14308.131400
19,20,Female,White,0.883814,6521.094000
19,20,Male,AIAN,0.714761,10061.490000
19,20,Male,Asian,1.006977,6036.894000
19,20,Male,Black,0.811292,8354.624000
19,20,Male,Latino,0.723088,10868.490000
19,20,Male,Multiracial or Other,0.807094,9055.341000
19,20,Male,NHOPI,0.704515,10677.710000
19,20,Male,White,0.829398,9055.341000
20,21,Female,AIAN,0.749413,10675.240890
20,21,Female,Asian,1.007641,7043.043000
20,21,Female,Black,0.706563,10234.414400
20,21,Female,Latino,0.585525,11955.339000
20,21,Female,Multiracial or Other,0.695694,10677.710000
20,21,Female,NHOPI,0.678974,14620.592000
20,21,Female,White,0.681481,10061.490000
20,21,Male,AIAN,0.911183,12477.611000
20,21,Male,Asian,0.956069,8981.220800
20,21,Male,Black,0.688573,12073.788000
20,21,Male,Latino,0.543043,16016.565000
20,21,Male,Multiracial or Other,0.743210,12073.788000
20,21,Male,NHOPI,0.632789,15664.920000
20,21,Male,White,0.719119,13158.532800
21,22,Female,AIAN,0.352585,15092.235000
21,22,Female,Asian,0.982975,8694.792000
21,22,Female,Black,0.628254,12531.936000
21,22,Female,Latino,0.517692,14020.352100
21,22,Female,Multiracial or Other,0.625149,11955.339000
21,22,Female,NHOPI,0.480792,15215.886000
21,22,Female,White,0.694492,11487.608000
21,22,Male,AIAN,0.378380,19125.518500
21,22,Male,Asian,0.996011,10443.280000
21,22,Male,Black,0.570031,14829.947500
21,22,Male,Latino,0.457960,19116.831000
