age_start,age_end,sex,race_ethnicity,born_in_us,state,household_emigration_rate
0,15,Female,AIAN,0,1,0.17838637278860234
0,15,Female,AIAN,0,2,0.0019298232839665406
0,15,Female,AIAN,0,4,0.1328410728043624
0,15,Female,AIAN,0,5,0.0019298232839665406
0,15,Female,AIAN,0,6,0.15912107655239924
0,15,Female,AIAN,0,8,0.06517549004294493
0,15,Female,AIAN,0,9,0.08320657826566014
0,15,Female,AIAN,0,10,0.02096046834313808
0,15,Female,AIAN,0,11,0.0019298232839665406
0,15,Female,AIAN,0,12,0.06403640908959325
0,15,Female,AIAN,0,13,0.6284610822365986
0,15,Female,AIAN,0,15,0.0019298232839665406
0,15,Female,AIAN,0,16,0.037427310643348165
0,15,Female,AIAN,0,17,0.10701105246454744
0,15,Female,AIAN,0,18,0.12456813971130443
0,15,Female,AIAN,0,19,0.12930814947088645
0,15,Female,AIAN,0,20,0.06585805714190382
0,15,Female,AIAN,0,21,0.035218457555014335
0,15,Female,AIAN,0,22,0.11774246872171558
0,15,Female,AIAN,0,23,0.0019298232839665406
0,15,Female,AIAN,0,24,0.1126548487571324
0,15,Female,AIAN,0,25,0.12922757357515785
0,15,Female,AIAN,0,26,0.2068504231908199
0,15,Female,AIAN,0,27,0.04685619100739412
0,15,Female,AIAN,0,28,0.013994953543391267
0,15,Female,AIAN,0,29,0.06968797743620733
0,15,Female,AIAN,0,30,0.012328823743858349
0,15,Female,AIAN,0,31,0.03354367308522559
0,15,Female,AIAN,0,32,0.0019298232839665406
0,15,Female,AIAN,0,33,0.048433616151887175
0,15,Female,AIAN,0,34,0.17862344444631986
0,15,Female,AIAN,0,35,0.07999285449545306
0,15,Female,AIAN,0,36,0.07978205025866333
0,15,Female,AIAN,0,37,0.10710960595120904
0,15,Female,AIAN,0,38,0.044414133424394195
0,15,Female,AIAN,0,39,0.13881037159249177
0,15,Female,AIAN,0,40,0.021032718262951198
0,15,Female,AIAN,0,41,0.0827231228912886
0,15,Female,AIAN,0,42,0.12436902798671708
0,15,Female,AIAN,0,44,0.07453231770378198
0,15,Female,AIAN,0,45,0.09477225901483101
0,15,Female,AIAN,0,46,0.0019298232839665406
0,15,Female,AIAN,0,47,0.0552166711788776
0,15,Female,AIAN,0,48,0.060611535459261234
0,15,Female,AIAN,0,49,0.0019298232839665406
0,15,Female,AIAN,0,50,0.0019298232839665406
0,15,Female,AIAN,0,51,0.20512347346703483
0,15,Female,AIAN,0,53,0.05184016452990347
0,15,Female,AIAN,0,54,0.057828403745854386
0,15,Female,AIAN,0,55,0.039233284253039055
0,15,Female,AIAN,0,56,0.0019298232839665406
0,15,Female,AIAN,1,1,0.008677312159701403
0,15,Female,AIAN,1,2,0.00020649814714900305
0,15,Female,AIAN,1,4,0.0013467693679322045
0,15,Female,AIAN,1,5,0.0009459111263690702
0,15,Female,AIAN,1,6,0.004152774113923186
0,15,Female,AIAN,1,8,0.004067127054536796
0,15,Female,AIAN,1,9,0.0034654837899847344
0,15,Female,AIAN,1,10,0.0014048883741825684
0,15,Female,AIAN,1,11,0.0036479840891660586
0,15,Female,AIAN,1,12,0.005153510178210319
0,15,Female,AIAN,1,13,0.0034712917343729327
0,15,Female,AIAN,1,15,0.00544032065588148
0,15,Female,AIAN,1,16,0.0013989035163674694
0,15,Female,AIAN,1,17,0.003660741466643629
0,15,Female,AIAN,1,18,0.0035946726546601743
0,15,Female,AIAN,1,19,0.017343327218837683
0,15,Female,AIAN,1,20,0.0019936888265470634
0,15,Female,AIAN,1,21,0.002632855640725601
0,15,Female,AIAN,1,22,0.005547158959275984
0,15,Female,AIAN,1,23,0.0011037066454324688
0,15,Female,AIAN,1,24,0.004630390703079387
0,15,Female,AIAN,1,25,0.006017808914342706
