state,puma,zipcode,proportion
1,100,35543,0.006
1,100,35564,0.0132
1,100,35565,0.0197
1,100,35570,0.0021
1,100,35571,0.0051
1,100,35581,0.0311
1,100,35582,0.0224
1,100,35585,0.0071
1,100,35593,0.0083
1,100,35610,0.0096
1,100,35614,0
1,100,35616,0.0242
1,100,35630,0.1908
1,100,35633,0.1041
1,100,35634,0.0499
1,100,35645,0.0683
1,100,35646,0.0247
1,100,35648,0.0188
1,100,35652,0.0469
1,100,35653,0.055
1,100,35654,0.0419
1,100,35660,0.0537
1,100,35661,0.0852
1,100,35672,0.0009
1,100,35674,0.0975
1,100,35677,0.0125
1,100,38852,0.0008
1,200,35610,0.0029
1,200,35611,0.1702
1,200,35613,0.1054
1,200,35614,0.0462
1,200,35615,0.0006
1,200,35620,0.0513
1,200,35647,0.0064
1,200,35649,0.0005
1,200,35652,0.0009
1,200,35671,0.0148
1,200,35739,0.0313
1,200,35741,0.0083
1,200,35748,0.0167
1,200,35749,0.0741
1,200,35750,0.0724
1,200,35756,0.0503
1,200,35757,0.0119
1,200,35758,0.0073
1,200,35759,0.0355
1,200,35761,0.066
1,200,35773,0.0738
1,200,35801,0.0001
1,200,35802,0
1,200,35805,0
1,200,35808,0.0054
1,200,35810,0.009
1,200,35811,0.0947
1,200,35824,0.0444
1,301,35749,0.0494
1,301,35757,0.0801
1,301,35758,0.3273
1,301,35805,0.0126
1,301,35806,0.1768
1,301,35810,0.2227
1,301,35816,0.131
1,301,35896,0
1,302,35801,0.2265
1,302,35802,0.2265
1,302,35803,0.2156
1,302,35805,0.2139
1,302,35810,0.0088
1,302,35811,0.0875
1,302,35816,0.0213
1,400,35740,0.0294
1,400,35744,0.0191
1,400,35745,0.0028
1,400,35746,0.0066
1,400,35748,0.0013
1,400,35751,0.0023
1,400,35752,0.0176
1,400,35755,0.004
1,400,35764,0.0053
1,400,35765,0.035
1,400,35766,0.0017
1,400,35768,0.0949
1,400,35769,0.0683
1,400,35771,0.0297
1,400,35772,0.0415
1,400,35774,0.0012
1,400,35776,0.0238
1,400,35951,0.009
1,400,35954,0.0008
1,400,35957,0.0146
1,400,35958,0.0284
1,400,35961,0.0397
1,400,35962,0.0539
1,400,35963,0.0136
1,400,35966,0.0318
1,400,35967,0.1285
1,400,35968,0.0361
1,400,35971,0.0386
1,400,35974,0.0132
1,400,35975,0.0081
1,400,35978,0.0439
1,400,35979,0.0101
1,400,35981,0.0176
1,400,35984,0.0237
1,400,35986,0.0617
1,400,35988,0.0142
1,400,35989,0.0278
1,500,35016,0.1293
1,500,35087,0.0011
1,500,35175,0.0338
1,500,35741,0.0139
1,500,35747,0.0541
1,500,35748,0.0275
1,500,35754,0.0005
1,500,35755,0.0054
1,500,35760,0.0445
1,500,35763,0.1059
1,500,35769,0.0199
1,500,35776,0.0042
1,500,35803,0.0141
1,500,35950,0.1603
1,500,35951,0.0891
1,500,35957,0.1097
1,500,35962,0.0036
1,500,35975,0.0009
1,500,35976,0.1526
1,500,35980,0.0297
1,600,35019,0.0029
1,600,35087,0.0059
1,600,35175,0.0077
1,600,35179,0.0007
1,600,35565,0.0002
1,600,35601,0.2206
1,600,35603,0.2015
1,600,35618,0.0146
1,600,35619,0.0327
1,600,35621,0.0174
1,600,35622,0.0358
1,600,35640,0.1562
1,600,35643,0.0197
1,600,35650,0.0924
1,600,35651,0.0087
1,600,35654,0.0001
1,600,35670,0.0497
1,600,35672,0.0432
1,600,35673,0.0503
1,600,35754,0.0353
1,600,35775,0.0042
1,700,35016,0.017
1,700,35019,0.015
1,700,35033,0.0296
1,700,35053,0.0484
1,700,35055,0.178
1,700,35057,0.1139
1,700,35058,0.0837
1,700,35070,0.0028
1,700,35077,0.1155
1,700,35083,0.0278
1,700,35087,0.0095
1,700,35098,0.0128
1,700,35179,0.0757
1,700,35503,0.0052
1,700,35540,0.022
1,700,35541,0.0503
1,700,35553,0.0489
1,700,35565,0.0939
1,700,35572,0.0165
1,700,35575,0.01
1,700,35577,0.001
1,700,35578,0.0083
1,700,35619,0.0001
1,700,35621,0.0012
1,700,35622,0.0127
1,700,35976,0.0001
1,800,35004,0.0761
1,800,35013,0.0006
1,800,35016,0.0022
1,800,35031,0.0588
1,800,35049,0.0271
1,800,35052,0.0018
1,800,35054,0.0372
1,800,35063,0.003
1,800,35079,0.0609
1,800,35094,0.0234
1,800,35097,0.0118
1,800,35112,0.0058
1,800,35120,0.0911
1,800,35121,0.1093
1,800,35125,0.0728
1,800,35126,0.0028
1,800,35128,0.0793
1,800,35131,0.0316
1,800,35133,0.0276
1,800,35135,0.0144
1,800,35146,0.065
1,800,35172,0.015
1,800,35173,0.0206
1,800,35178,0.007
1,800,35180,0.0408
1,800,35952,0.023
1,800,35953,0.0541
1,800,35957,0.0026
1,800,35972,0.0017
1,800,35976,0.0027
1,800,35980,0.0096
1,800,35987,0.0201
1,900,35901,0.1939
1,900,35903,0.1794
1,900,35904,0.1397
1,900,35905,0.0523
1,900,35906,0.0982
1,900,35907,0.0735
1,900,35952,0.0427
1,900,35954,0.1189
1,900,35956,0.0788
1,900,35961,0.004
1,900,35972,0.0084
1,900,35990,0.0005
1,900,36272,0.0096
1,1000,30165,0.0008
1,1000,35014,0.0238
1,1000,35032,0.0003
1,1000,35044,0.045
1,1000,35072,0.0076
1,1000,35082,0.0001
1,1000,35096,0.0467
1,1000,35149,0.0039
1,1000,35150,0.1076
1,1000,35151,0.0331
1,1000,35160,0.1524
1,1000,35901,0.0003
1,1000,35903,0.0003
1,1000,35959,0.0468
1,1000,35960,0.0818
1,1000,35961,0.0033
1,1000,35967,0.002
1,1000,35973,0.0185
1,1000,35983,0.0317
1,1000,35984,0.0021
1,1000,36203,0.0253
1,1000,36251,0.0311
1,1000,36255,0.0063
1,1000,36256,0.0001
1,1000,36258,0.0111
1,1000,36260,0.0065
1,1000,36262,0.0084
1,1000,36263,0.0038
1,1000,36264,0.0494
1,1000,36266,0.0373
1,1000,36267,0.0003
1,1000,36268,0.03
1,1000,36269,0.0078
1,1000,36272,0.0213
1,1000,36273,0.0165
1,1000,36274,0.0628
1,1000,36276,0.0124
1,1000,36278,0.0376
1,1000,36280,0.024
1,1100,35096,0.0028
1,1100,35905,0.0056
1,1100,36201,0.1789
1,1100,36203,0.1085
1,1100,36205,0.0068
1,1100,36206,0.0957
1,1100,36207,0.1759
1,1100,36250,0.0348
1,1100,36260,0.0252
1,1100,36265,0.1717
1,1100,36271,0.0512
1,1100,36272,0.078
1,1100,36277,0.0436
1,1100,36279,0.0213
1,1100,99999,0
1,1200,35007,0.121
1,1200,35022,0.0032
1,1200,35035,0.0001
1,1200,35040,0.075
1,1200,35043,0.0434
1,1200,35051,0.0413
1,1200,35078,0.0115
1,1200,35080,0.0733
1,1200,35094,0.007
1,1200,35114,0.0334
1,1200,35115,0.0592
1,1200,35124,0.114
1,1200,35143,0.0274
1,1200,35147,0.0279
1,1200,35176,0.0056
1,1200,35178,0.0146
1,1200,35186,0.0263
1,1200,35187,0.0001
1,1200,35216,0.0017
1,1200,35242,0.2424
1,1200,35243,0.0002
1,1200,35244,0.0713
1,1301,35020,0.0271
1,1301,35064,0.1027
1,1301,35203,0.0003
1,1301,35204,0.1064
1,1301,35205,0.0326
1,1301,35208,0.1383
1,1301,35209,0.0414
1,1301,35211,0.2402
1,1301,35214,0.0695
1,1301,35218,0.0749
1,1301,35221,0.0502
1,1301,35224,0.0265
1,1301,35228,0.0873
1,1301,35254,0.0028
1,1302,35203,0.0342
1,1302,35204,0.0141
1,1302,35205,0.1979
1,1302,35206,0.153
1,1302,35207,0.0733
1,1302,35209,0.0016
1,1302,35210,0.0363
1,1302,35212,0.1237
1,1302,35213,0.0348
1,1302,35215,0.0549
1,1302,35217,0.0873
1,1302,35222,0.0818
1,1302,35223,0.0046
1,1302,35233,0.0112
1,1302,35234,0.054
1,1302,35235,0.0376
1,1303,35094,0.0567
1,1303,35173,0.0026
1,1303,35206,0.0005
1,1303,35209,0.1679
1,1303,35210,0.0554
1,1303,35211,0.0088
1,1303,35213,0.0538
1,1303,35216,0.2212
1,1303,35223,0.058
1,1303,35226,0.1619
1,1303,35235,0.0079
1,1303,35242,0.029
1,1303,35243,0.1103
1,1303,35244,0.0659
1,1304,35005,0.0424
1,1304,35036,0.002
1,1304,35060,0.0029
1,1304,35062,0.0302
1,1304,35063,0.0013
1,1304,35068,0.0442
1,1304,35071,0.093
1,1304,35073,0.0156
1,1304,35079,0.0001
1,1304,35091,0.0137
1,1304,35116,0.0242
1,1304,35117,0.0295
1,1304,35119,0.0008
1,1304,35126,0.1139
1,1304,35139,0.0008
1,1304,35146,0.0007
1,1304,35148,0.0001
1,1304,35172,0.0054
1,1304,35173,0.1116
1,1304,35180,0.0432
1,1304,35207,0.0054
1,1304,35210,0.0035
1,1304,35214,0.075
1,1304,35215,0.2363
1,1304,35217,0.0224
1,1304,35235,0.0821
1,1305,35005,0.0081
1,1305,35006,0.0308
1,1305,35020,0.2315
1,1305,35022,0.1634
1,1305,35023,0.2185
1,1305,35061,0.0145
1,1305,35080,0.0001
1,1305,35111,0.0656
1,1305,35118,0.029
1,1305,35127,0.083
1,1305,35130,0.0135
1,1305,35211,0.0329
1,1305,35224,0.0326
1,1305,35226,0.0135
1,1305,35228,0.0081
1,1305,35244,0.0541
1,1305,35444,0.0008
1,1400,35006,0.0005
1,1400,35033,0.0025
1,1400,35062,0.02
1,1400,35063,0.0243
1,1400,35130,0.0181
1,1400,35148,0.0221
1,1400,35501,0.084
1,1400,35503,0.0663
1,1400,35504,0.1061
1,1400,35542,0.0085
1,1400,35543,0.0002
1,1400,35544,0.0063
1,1400,35545,0.0009
1,1400,35546,0.022
1,1400,35548,0.0146
1,1400,35549,0.0363
1,1400,35550,0.0467
1,1400,35552,0.0097
1,1400,35554,0.01
1,1400,35555,0.0864
1,1400,35559,0.0003
1,1400,35563,0.0358
1,1400,35564,0.0003
1,1400,35565,0.0009
1,1400,35570,0.0863
1,1400,35574,0.0115
1,1400,35576,0.026
1,1400,35578,0.0376
1,1400,35579,0.0256
1,1400,35580,0.0317
1,1400,35584,0.0035
1,1400,35586,0.0396
1,1400,35587,0.0084
1,1400,35592,0.0393
1,1400,35593,0.0029
1,1400,35594,0.0647
1,1500,35006,0.0001
1,1500,35111,0.0718
1,1500,35188,0.0018
1,1500,35401,0.017
1,1500,35404,0.0028
1,1500,35405,0.1115
1,1500,35406,0.035
1,1500,35442,0.051
1,1500,35444,0.0331
1,1500,35446,0.0224
1,1500,35447,0.0391
1,1500,35452,0.0354
1,1500,35453,0.0693
1,1500,35456,0.0334
1,1500,35457,0.001
1,1500,35458,0.0061
1,1500,35461,0.0243
1,1500,35463,0.0174
1,1500,35466,0.0608
1,1500,35469,0.0006
1,1500,35473,0.0959
1,1500,35474,0.0171
1,1500,35475,0.1383
1,1500,35476,0.0058
1,1500,35480,0.0113
1,1500,35481,0.0408
1,1500,35490,0.0354
1,1500,35546,0.0121
1,1500,35555,0.0023
1,1500,35574,0.0035
1,1500,35576,0.0035
1,1500,35579,0.0002
1,1600,35401,0.3127
1,1600,35404,0.1899
1,1600,35405,0.2496
1,1600,35406,0.0949
1,1600,35453,0.034
1,1600,35456,0.0016
