age_start,age_end,sex,race_ethnicity,household_domestic_migration_rate
0,15,Female,AIAN,0.156398
0,15,Female,Asian,0.156398
0,15,Female,Black,0.156398
0,15,Female,Latino,0.156398
0,15,Female,Multiracial or Other,0.156398
0,15,Female,NHOPI,0.156398
0,15,Female,White,0.156398
0,15,Male,AIAN,0.156398
0,15,Male,Asian,0.156398
0,15,Male,Black,0.156398
0,15,Male,Latino,0.156398
0,15,Male,Multiracial or Other,0.156398
0,15,Male,NHOPI,0.156398
0,15,Male,White,0.156398
15,18,Female,AIAN,0.389831
15,18,Female,Asian,0.000000
15,18,Female,Black,0.066558
15,18,Female,Latino,0.138525
15,18,Female,Multiracial or Other,0.093909
15,18,Female,NHOPI,1.000000
15,18,Female,White,0.178246
15,18,Male,AIAN,0.000000
15,18,Male,Asian,0.157333
15,18,Male,Black,0.055996
15,18,Male,Latino,0.119232
15,18,Male,Multiracial or Other,0.000000
15,18,Male,NHOPI,0.000000
15,18,Male,White,0.090591
18,19,Female,AIAN,0.628049
18,19,Female,Asian,0.157393
18,19,Female,Black,0.322507
18,19,Female,Latino,0.276969
18,19,Female,Multiracial or Other,0.516464
18,19,Female,NHOPI,0.809524
18,19,Female,White,0.445785
18,19,Male,AIAN,0.539652
18,19,Male,Asian,0.172926
18,19,Male,Black,0.156674
18,19,Male,Latino,0.199854
18,19,Male,Multiracial or Other,0.181498
18,19,Male,NHOPI,0.793103
18,19,Male,White,0.411539
19,20,Female,AIAN,0.413673
19,20,Female,Asian,0.338854
19,20,Female,Black,0.373389
19,20,Female,Latino,0.369203
19,20,Female,Multiracial or Other,0.449700
19,20,Female,NHOPI,0.000000
19,20,Female,White,0.439462
19,20,Male,AIAN,0.429733
19,20,Male,Asian,0.319906
19,20,Male,Black,0.303371
19,20,Male,Latino,0.281234
19,20,Male,Multiracial or Other,0.440199
19,20,Male,NHOPI,0.089744
19,20,Male,White,0.411499
20,21,Female,AIAN,0.243542
20,21,Female,Asian,0.349429
20,21,Female,Black,0.314346
20,21,Female,Latino,0.371073
20,21,Female,Multiracial or Other,0.401322
20,21,Female,NHOPI,0.250653
20,21,Female,White,0.426527
20,21,Male,AIAN,0.308804
20,21,Male,Asian,0.279299
20,21,Male,Black,0.287303
20,21,Male,Latino,0.306908
20,21,Male,Multiracial or Other,0.433340
20,21,Male,NHOPI,0.135294
20,21,Male,White,0.399285
21,22,Female,AIAN,0.345596
21,22,Female,Asian,0.291374
21,22,Female,Black,0.338594
21,22,Female,Latino,0.338904
21,22,Female,Multiracial or Other,0.351222
21,22,Female,NHOPI,0.383408
21,22,Female,White,0.381849
21,22,Male,AIAN,0.425656
21,22,Male,Asian,0.274553
21,22,Male,Black,0.310385
21,22,Male,Latino,0.299040
21,22,Male,Multiracial or Other,0.390108
21,22,Male,NHOPI,0.307339
21,22,Male,White,0.379348
