age_start,age_end,sex,race_ethnicity,born_in_us,state,non_reference_person_emigration_rate
0,15,Female,AIAN,0,1,0.0009534459972653459
0,15,Female,AIAN,0,2,0.010249544470602466
0,15,Female,AIAN,0,4,0.001977517623957754
0,15,Female,AIAN,0,5,0.005339297584685936
0,15,Female,AIAN,0,6,0.039726916552722744
0,15,Female,AIAN,0,8,0.008390324775935041
0,15,Female,AIAN,0,9,0.01525513595624553
0,15,Female,AIAN,0,10,0.003178153324217819
0,15,Female,AIAN,0,11,0.001968308997140865
0,15,Female,AIAN,0,12,0.004476178050319412
0,15,Female,AIAN,0,13,0.003486888218570407
0,15,Female,AIAN,0,15,0.014301689958980185
0,15,Female,AIAN,0,16,0.005720675983592075
0,15,Female,AIAN,0,17,0.0026852152576044425
0,15,Female,AIAN,0,18,0.002247408422125457
0,15,Female,AIAN,0,19,0.004290506987694056
0,15,Female,AIAN,0,20,0.0035413708469855696
0,15,Female,AIAN,0,21,0.0030986994911123733
0,15,Female,AIAN,0,22,0.0038137839890613826
0,15,Female,AIAN,0,23,0.0009534459972653456
0,15,Female,AIAN,0,24,0.0019068919945306913
0,15,Female,AIAN,0,25,0.006587445072015115
0,15,Female,AIAN,0,26,0.0036019071007801946
0,15,Female,AIAN,0,27,0.002211994713655602
0,15,Female,AIAN,0,28,0.0019068919945306915
0,15,Female,AIAN,0,29,0.002131232229181361
0,15,Female,AIAN,0,30,0.0005608505866266739
0,15,Female,AIAN,0,31,0.012712613296871275
0,15,Female,AIAN,0,32,0.006537915409819513
0,15,Female,AIAN,0,33,0.005720675983592075
0,15,Female,AIAN,0,34,0.0030696310155859906
0,15,Female,AIAN,0,35,0.002478959592889899
0,15,Female,AIAN,0,36,0.002334498078152725
0,15,Female,AIAN,0,37,0.006078218232566579
0,15,Female,AIAN,0,38,0.0007627567978122765
0,15,Female,AIAN,0,39,0.005847802116560786
0,15,Female,AIAN,0,40,0.003575422489745046
0,15,Female,AIAN,0,41,0.004038124223712052
0,15,Female,AIAN,0,42,0.005720675983592074
0,15,Female,AIAN,0,44,0.00333706099042871
0,15,Female,AIAN,0,45,0.0032689577049097563
0,15,Female,AIAN,0,46,0.0022882703934368294
0,15,Female,AIAN,0,47,0.0019068919945306913
0,15,Female,AIAN,0,48,0.006071945561531938
0,15,Female,AIAN,0,49,0.01334824396171484
0,15,Female,AIAN,0,50,0.003813783989061383
0,15,Female,AIAN,0,51,0.0038773470555457388
0,15,Female,AIAN,0,53,0.0038698690477240497
0,15,Female,AIAN,0,54,0.002860337991796037
0,15,Female,AIAN,0,55,0.004576540786873659
0,15,Female,AIAN,0,56,0.0019068919945306915
0,15,Female,AIAN,1,1,0.00015970700054796785
0,15,Female,AIAN,1,2,2.1078142924033313e-05
0,15,Female,AIAN,1,4,0.000573710713871169
0,15,Female,AIAN,1,5,0.00016687087760664985
0,15,Female,AIAN,1,6,0.0004841245719068249
0,15,Female,AIAN,1,8,0.0002982868462078441
0,15,Female,AIAN,1,9,0.00045351330503271925
0,15,Female,AIAN,1,10,0.00032954677086688124
0,15,Female,AIAN,1,11,0.0008015916739410999
0,15,Female,AIAN,1,12,0.0006218250687110078
0,15,Female,AIAN,1,13,0.00035395090609881584
0,15,Female,AIAN,1,15,0.000680432826242229
0,15,Female,AIAN,1,16,0.00013551960529677084
0,15,Female,AIAN,1,17,0.0008825932291641983
0,15,Female,AIAN,1,18,0.0002658340585393097
0,15,Female,AIAN,1,19,0.0001929697510564637
0,15,Female,AIAN,1,20,0.0002158604725496944
0,15,Female,AIAN,1,21,0.000244696087377135
0,15,Female,AIAN,1,22,0.0008203372771051462
0,15,Female,AIAN,1,23,0.00017274395377015058
0,15,Female,AIAN,1,24,0.0005327568981331511
0,15,Female,AIAN,1,25,0.0006098447518596162
0,15,Female,AIAN,1,26,0.0010878167266032853
0,15,Female,AIAN,1,27,0.0005957502044237215
0,15,Female,AIAN,1,28,0.00011113571934188464
0,15,Female,AIAN,1,29,0.00021771943693251513
0,15,Female,AIAN,1,30,0.0013058064745155823
0,15,Female,AIAN,1,31,0.00021898936332949637
0,15,Female,AIAN,1,32,0.0002925859162224224
0,15,Female,AIAN,1,33,0.0004436442599520384
0,15,Female,AIAN,1,34,0.0005177341451322509
0,15,Female,AIAN,1,35,0.00016697446068974752
0,15,Female,AIAN,1,36,0.0022891583524564016
0,15,Female,AIAN,1,37,0.00047570051753213684
0,15,Female,AIAN,1,38,2.286939810274488e-05
0,15,Female,AIAN,1,39,0.0002710360908075143
0,15,Female,AIAN,1,40,3.209062439761876e-05
0,15,Female,AIAN,1,41,0.00021527426417128714
0,15,Female,AIAN,1,42,0.0015548869042792432
0,15,Female,AIAN,1,44,0.00032550441304488953
0,15,Female,AIAN,1,45,0.00026135363417102573
0,15,Female,AIAN,1,46,4.5524252369697114e-05
0,15,Female,AIAN,1,47,0.0002545389088528003
0,15,Female,AIAN,1,48,0.00042139099484078235
0,15,Female,AIAN,1,49,0.00022729786903645418
0,15,Female,AIAN,1,50,0.0002779868125019166
0,15,Female,AIAN,1,51,0.0004725494365578111
0,15,Female,AIAN,1,53,0.00026480472814674244
0,15,Female,AIAN,1,54,0.00015263064821087653
0,15,Female,AIAN,1,55,0.00014205893636758623
0,15,Female,AIAN,1,56,6.934152707384331e-05
0,15,Female,Asian,0,1,0.010264778241664973
0,15,Female,Asian,0,2,0.04081457311141944
0,15,Female,Asian,0,4,0.016684308374255278
0,15,Female,Asian,0,5,0.021853974021479632
0,15,Female,Asian,0,6,0.02035769650272103
0,15,Female,Asian,0,8,0.019143514003428737
